,Job Title,Location,Job Salary,Job Description,Preferred Skills
0,Data Scientist,"Santa Monica, CA","['100', '140']","We are a stealth automotive financial technology company in Santa Monica about to make some big waves!  We are revolutionizing the way we finance and shop for cars by offering unprecedented freedom, flexibility and a fully digital experience.We are seeking a Data Scientist!What You Will Be DoingYou will play a pivotal role in transforming the auto industry by designing and implementing various machine learning models across our entire app experience.Collaborate across engineering and business units to develop data products driven by business needs.Design and develop machine learning models, explore new prediction algorithms, construct new features, and research new technologies.Deploy your machine learning models as real-time production services.Contribute to our machine learning tech stack.What You Need for this PositionYou are a highly motivated data scientist/machine learning engineer who will help us reshape the car acquisition process. You are a “full stack” data sculptor, molding raw data sets into art—production quality machine learning models. Bachelor’s degree in computer science or a quantitative discipline; advanced degree is a plus.Expertise in machine learning algorithms.Willingness to apply skillset to solve business problems.Strong coding abilities with a desire to work in Python.Ability to work well in a collaborative (and fun) team environment, and an eagerness to contribute ideas, share skills, and develop best practices.Experienced in or eagerness to learn Python, sklearn, matplotlib, Luigi, SQL, Docker, Kubernetes, Spark, TensorFlow, Hive/Presto, Tableau, AWS.PLUSES:Experience competing in a Kaggle competition.What's In It for YouWe believe in transparency and equality. We believe in hard work, but we also believe that hard work should be celebrated and rewarded. That’s why we provide lunch and snacks to fuel your work each day. We offer free health benefits, paying 100% of medical, dental, and vision care coverage premiums. We offer flexible work hours and unlimited vacation, which we actually encourage you to use. So go ahead and take that well-earned trip to Hawaii, and make sure to send us a family a post card!So.....if you are a Data Scientist - please apply today!
                

                    Applicants must be authorized to work in the U.S.",                Preferred Skills                                                                                                                                                                        Machine Learning                                                                                                                                                                                                                                    Python                                                                                                                                                                                                                                    Data Mining                                                                                                                                                
1,Data Scientist,"New York City, NY","['150', '250']","If you are a Data Scientist with an interest in building a cutting edge economy simulator please send me a resume and read on!We are a highly respected hedge and venture capital firm with a rapidly growing Data Science team.  That said, we have an amazing opportunity to have a very high profile role on a brand new research group.  Your work will have a direct impact on discovery of investment signals that will generate billions of dollars.Top Reasons to Work with Us•This NOT a typical quant shop.  All the members of the firm are very interactive with very little silo-ing.  •This is an opportunity to join  a very small but amazingly talented data science team.  •This role will present tons of interesting puzzles and unique discoveries that will have very interesting technical challenges.•This is an opportunity to work in a super techy financial firm that has created some of the most cutting-edge software and intelligence platforms anywhere.  Very awesome culture.•The compensation packages are hedge fund bonused to the hilt!What You Will Be DoingYou will be working for the data science team of a very highly respected, hedge fund and VC firm building a best in class, cutting edge, economy simulator.  Think Sims but working for a firm managing billions in assets.In this role you will be responsible for applying, adapting, and extending existing results in the broad field of data science and machine learning.  You will be touching various aspects of data science such as…Machine Learning Predictive modellingClusteringNatural language processingWhat You Need for this Position•Bachelors or Masters candidate in machine learning, computer science, statistics, or a related field from a top-tier educational institution.  The team is composed of very sharp ivy league alums.•Amazing analytical and quantitative skills.   •Experience conducting independent research utilizing large data sets.•Financial market experience or a deep desire to learn.•Programming in Python, R or Matlab.So, if you are a Data Scientist looking for an in incredibly challenging, highly gratifying opportunity, please apply today!
                

                    Applicants must be authorized to work in the U.S.",                Preferred Skills                                                                                                                                                                        Data Science                                                                                                                                                                                                                                    Machine Learning                                                                                                                                                                                                                                    Python                                                                                                                                                                                                                                    R                                                                                                                                                
2,Data Scientist,"San Jose, CA",[],"San Jose, CA, US- RELOCATION INCLUDED! **Your application will be considered incomplete unless the screening questions are answered, and incomplete applications cannot be submitted for further review. Please answer all of the screening questions in detail in order to expedite the process.**If you are a Data Scientist/Applied Researcher with 5+ years of experience, please read on! Based in the San Jose area, we are a fast growing, results driven, and successful Online Services Company that specializes in eCommerce. Due to growth and demand for our services, we are in need of hiring for a Data Scientist who has over 5 years of industry experience and possess strong Hadoop, Spark, Scala, Python, R, machine learning, Data mining, Information Retrieval/Search, and NLP background with a passion for solving problems.Join our small, highly collaborative team who enjoy working on large-scale, challenging and interesting problems. The apps you will work to create and enhance are used by thousands of users on a daily basis. It’s a rare opportunity to work for such an agile and dynamic company that also has the stability and resources backing it that we have.If you are interested in joining a Work Hard Play Hard company that pushes the envelope in global commerce and 100% cares about providing a great working environment for its employees, then apply immediately.Top Reasons to Work with Us- Great salary, bonuses and healthy stock options- Awesome office culture, unlimited PTO- Work with cutting edge technologies on an elite team for a powerhouse company!What You Need for this PositionMore Than 5 Years of experience and knowledge of:- Data Science- Applied Research- Hadoop/MapReduce/Spark- Programming (R/Scala/Python/Ruby)- Java Or C++- Data Mining- Machine Learning- Information RetrievalWhat's In It for You- Vacation/PTO- Medical- Dental- Vision- Relocation Assistance- Bonus: 10-20% year-end bonus off base salary- Potential Stock Option- 401(k)So, if you are a Data Scientist with 5+ years of experience, please apply today! **Your application will be considered incomplete unless the screening questions are answered, and incomplete applications cannot be submitted for further review. Please answer all of the screening questions in detail in order to expedite the process.**
                

                    Applicants must be authorized to work in the U.S.",                Preferred Skills                                                                                                                                                                        Data Science                                                                                                                                                                                                                                    Applied Research                                                                                                                                                                                                                                    Hadoop/MapReduce/Spark                                                                                                                                                                                                                                    Programming (R/Scala/Python/Ruby)                                                                                                                                                                                                                                    Java Or C++                                                                                                                                                                                                                                    Data Mining                                                                                                                                                                                                                                    Machine Learning                                                                                                                                                                                                                                    Information Retrieval                                                                                                                                                
3,Data Scientist,"San Jose, CA",[],"San Jose, CA, US- RELOCATION INCLUDED! **Your application will be considered incomplete unless the screening questions are answered, and incomplete applications cannot be submitted for further review. Please answer all of the screening questions in detail in order to expedite the process.**If you are a Data Scientist/Applied Researcher with 5+ years of experience, please read on!Based in the San Jose area, we are a fast growing, results driven, and successful Online Services Company that specializes in eCommerce. Due to growth and demand for our services, we are in need of hiring for a Data Scientist who has over 5 years of industry experience and possess strong Hadoop, Spark, Scala, Python, R, machine learning, Data mining, Information Retrieval/Search, and NLP background with a passion for solving problems.Join our small, highly collaborative team who enjoy working on large-scale, challenging and interesting problems. The apps you will work to create and enhance are used by thousands of users on a daily basis. It’s a rare opportunity to work for such an agile and dynamic company that also has the stability and resources backing it that we have.If you are interested in joining a Work Hard Play Hard company that pushes the envelope in global commerce and 100% cares about providing a great working environment for its employees, then apply immediately!Top Reasons to Work with Us- Great salary, bonuses and healthy stock options- Awesome office culture, unlimited PTO- Work with cutting edge technologies on an elite team for a powerhouse company!What You Need for this PositionMore Than 5 Years of experience and knowledge of:- Data Science- Applied Research- Hadoop/MapReduce/Spark- Programming (R/Scala/Python/Ruby)- Java Or C++- Data Mining- Machine Learning- Information RetrievalWhat's In It for You- Vacation/PTO- Medical- Dental- Vision- Relocation Assistance- Bonus: 10-20% year-end bonus off base salary- Potential Stock Option- 401(k)So, if you are a Data Scientist with 5+ years of experience, please apply today! **Your application will be considered incomplete unless the screening questions are answered, and incomplete applications cannot be submitted for further review. Please answer all of the screening questions in detail in order to expedite the process.**
                

                    Applicants must be authorized to work in the U.S.",                Preferred Skills                                                                                                                                                                        Data Science                                                                                                                                                                                                                                    Applied Research                                                                                                                                                                                                                                    Hadoop/MapReduce/Spark                                                                                                                                                                                                                                    Programming (R/Scala/Python/Ruby)                                                                                                                                                                                                                                    Java Or C++                                                                                                                                                                                                                                    Data Mining                                                                                                                                                                                                                                    Machine Learning                                                                                                                                                                                                                                    Information Retrieval                                                                                                                                                
4,Data Scientist,"New York City, NY","['120', '175']","If you are a Data Scientist with SQL and Modeling experience, please read on!Join the world's fastest growing platform for moving and holding any form of money or commodity, instantly and securely.Our company combines a platform app model with payment connectivity to offer financial services to a global market. We empower innovation in financial services through a platform approach where app developers and FinTech partners can leverage our reach through licensed relationships with banks and financial services partners around the world. Built on a core of proprietary technologies and e-money apps, our company embraces a future where people and businesses around the world have access to safe, transparent, fair and affordable financial services.As a key member of the Analytics/Finance team, you will be responsible for data-driven insights that enable our company to optimize business processes and financial decision. You will gather, organize and aggregate large sets of data in order to produce meaningful business insight and solve critical challenges that give us a competitive edge. If you love leading and developing a strategic vision, solving complex problems, driving business strategy and increasing overall profitability by developing deep analytic approaches and infrastructure, this role is for you!What You Will Be Doing•Build predictive and behavioral analyses models that are used by the marketing, underwriting & sales teams to enhance targeting, increase revenue, and allocate resources more efficiently•Develop a behavior-based model of the customer lifecycle•Evaluate specific product performance and sales performance to make recommendations to Senior Management to increase productivity and drive efficiencies•Identify the necessary data and equations to answer business questions•Translate business questions into definable metrics and vice versa. Ability to explain the story the numbers are telling, test hypotheses with numerical data, and identify problem areas•Research competitors, adjacent markets, and current market trends to discover new business or process opportunitiesWhat You Need for this Position•Bachelor’s degree in a quantitative field such as mathematics, economics, statistics, informatics, data science, or engineering required, advanced degree strongly preferred•Experience with statistical analysis, complex SQL queries, and business modeling•Demonstrated knowledge of applying data mining techniques (i.e. classification, & clustering, time series forecasting, Simulation and system modeling), statistics and information retrieval methods to real-world data•Expertise in predictive modeling using both supervised, unsupervised, and reinforcement learning techniques. Must have knowledge and experience in the following: generalized linear models, model validation and testing, dimensionality reduction, clustering, and Bayesian approaches to data analysis•Strong foundations in the design and interpretation of experiments•Experience working with a data warehouse environment and leveraging models within a cloud based environment•Proven ability to transform the results of complex modeling procedures into concrete decisions and actions•Demonstrated proficiency with R or PythonWhat's In It for You- Competitive base salary of $115k-$155k DOE- Bonus - 401(k) w/ matching- Stock options/ real ownership of the company- Flexible schedule and unlimited vacation- Remote work option (inquire)- Comprehensive health benefits and competitive additional offeringsSo, if you are a Data Scientist with SQL and Modeling experience, please apply today!
                

                    Applicants must be authorized to work in the U.S.",                Preferred Skills                                                                                                                                                                        SQL                                                                                                                                                                                                                                    Cloud-based environment                                                                                                                                                                                                                                    Data Mining                                                                                                                                                                                                                                    Data Analyst                                                                                                                                                
5,Data Scientist,"San Francisco, CA","['110', '175']","If you are a Data Scientist with 4+ years data science experience, please read on!Payment infrastructure on the internet is fragmented and broken. We are building a future where sending payments is as easy as sending messages. To do this, we’ve redesigned payments from the ground up. Our platform makes online commerce easy, secure, ethical, and efficient for all parties. To solve such a large problem, we’ve put together an incredible team and are selectively adding to it.Play a mission-critical role in developing the future of online commerce. We are looking for someone who oozes passion, creativity, and a love of building great things. Companies and consumers alike will rely heavily on what you build. You’ll have a ton of trust and responsibility. So, if challenges excite you, and you’re ready for a big one, let us know.What You Will Be DoingTest, iterate, and improve our risk engine and fraud modelsWork with individual teams to set up experiments to improve our processes and productsWhat You Need for this PositionPassion and drive to make improve commerce on the InternetEngineering background, with 4+ years of data science experienceDeep understand of and experience with data analysisStrong knowledge of statisticsExpert knowledge of a scientific computing language (R or Python) and SQLStrong ability to communicate clearly and focus on impactBonus:Previous work experience in an early stage company and knowledge of how to navigate and be successful in a startup environment.Deep understanding of fraud detection, e-commerce payments and the competitive ecosystemWhat's In It for You- Competitive salary of $120K-$190K DOE- Full medical, dental, vision benefits- 401(k) w/ matching- Company paid breakfast, lunch and dinner- Passionate, fun and hard-working environment- Much, much more!So, if you are a Data Scientist with 4+ years data science experience, please apply today!
                

                    Applicants must be authorized to work in the U.S.",                Preferred Skills                                                                                                                                                                        Data Science                                                                                                                                                                                                                                    Machine Learning                                                                                                                                                                                                                                    R                                                                                                                                                                                                                                    Python                                                                                                                                                                                                                                    SQL                                                                                                                                                                                                                                    SQL Server                                                                                                                                                                                                                                    E-Commerce                                                                                                                                                
6,Data Scientist,"Princeton, NJ",[],"If you are a Data Analyst with experience, please read on!Located in beautiful and historical Princeton, NJ, we are a well-established institution that assists with predicting customers' behaviors. Our leaders have been in the industry for over 30 years, and have created a platform that assists companies both large and small.What You Will Be Doing-Extracting and analyzing data and creating reports-Searching our large database to create customer prospecting models-Statistical modeling and regression analysisWhat You Need for this PositionMore Than 5 Years of experience and knowledge of:- Data Analysis- Python- SQL- C/C++- Statistical Software (R/Python/SAS/SPSS/SQL)- Python/R- Data Analyst- Excel- Matlab- SPSSWhat's In It for YouWe provide excellent benefits and a competitive salary ($100k-$130k). We are also located right near public transportation, making it an easy commute to and from work! We are looking for someone who is in it for the long haul and provide many opportunities for growth within the company. If you're interested in working in a fast-paced, innovative company, this job is for you.So, if you are a Data Analyst with experience, please apply today!
                

                    Applicants must be authorized to work in the U.S.",                Preferred Skills                                                                                                                                                                        Data Analysis                                                                                                                                                                                                                                    Python                                                                                                                                                                                                                                    SQL                                                                                                                                                                                                                                    C/C++                                                                                                                                                                                                                                    Statistical Software (R/Python/SAS/SPSS/SQL)                                                                                                                                                                                                                                    Python/R                                                                                                                                                                                                                                    Data Analyst                                                                                                                                                                                                                                    Excel                                                                                                                                                                                                                                    Matlab                                                                                                                                                                                                                                    SPSS                                                                                                                                                
7,Data Scientist,"Irvine, CA",[],"If you are a Data Scientist with experience, please read on!What You Will Be Doing-Analyze and model structured data and implement algorithms to support analysis using advanced statistical and mathematical methods from statistics, machine learning, data mining, econometrics, and operations researchWhat You Need for this PositionAt Least 3 Years of experience and knowledge of:- Statistical Modeling- Analytics- Data-driven Algorithms- Data MiningSo, if you are a Data Scientist with experience, please apply today!
                

                    Applicants must be authorized to work in the U.S.",                Preferred Skills                                                                                                                                                                        Statistical Modeling                                                                                                                                                                                                                                    Analytics                                                                                                                                                                                                                                    Data-driven Algorithms                                                                                                                                                                                                                                    Data Mining                                                                                                                                                
8,Data Scientist,"Garden Grove, CA","['120', '175']","If you are a Data Scientist with 5+ years experience, please read on!What You Will Be DoingOur ideal candidate will have expertise working with large data sets to explore, interpret, and quantify relationships between economic indicators, media strategies, and business outcomes. We're also looking for those who have solid mathematics, statistical packages, libraries and basic data base schemes.What You Need for this PositionMore Than 5 Years of experience and knowledge of:- Machine Learning- Data Analysis- Applied Statistics- Statistical/Quantitative Analysis- Econometric Modeling- Statistical Modeling- Machine Learning Algorithms- Applied Mathematics- Java/C#/ R or Python- Data Visualization Tools like TableauM.S. or Ph.D in Machine Learning, Applied Mathematics or Applied StatisticsSo, if you are a Data Scientist with experience, please apply today!
                

                    Applicants must be authorized to work in the U.S.",                Preferred Skills                                                                                                                                                                        econometric modeling                                                                                                                                                                                                                                    Statistical Modeling                                                                                                                                                                                                                                    Quantitative research methods                                                                                                                                                                                                                                    R                                                                                                                                                                                                                                    Python                                                                                                                                                                                                                                    Data Visualization Tools like Tableau                                                                                                                                                                                                                                    Java                                                                                                                                                                                                                                    SQL                                                                                                                                                                                                                                    Machine Learning Algorithms                                                                                                                                                
9,Data Scientist,"Newport Beach, CA","['120', '175']","If you are a Data Scientist with 5+ years experience, please read on!What You Will Be DoingOur ideal candidate will have expertise working with large data sets to explore, interpret, and quantify relationships between economic indicators, media strategies, and business outcomes. We're also looking for those who have solid mathematics, statistical packages, libraries and basic data base schemes.What You Need for this PositionMore Than 5 Years of experience and knowledge of:- Machine Learning- Data Analysis- Applied Statistics- Statistical/Quantitative Analysis- Econometric Modeling- Statistical Modeling- Machine Learning Algorithms- Applied Mathematics- Java/C#/ R or Python- Data Visualization Tools like TableauM.S. or Ph.D in Machine Learning, Applied Mathematics or Applied StatisticsSo, if you are a Data Scientist with experience, please apply today!
                

                    Applicants must be authorized to work in the U.S.",                Preferred Skills                                                                                                                                                                        econometric modeling                                                                                                                                                                                                                                    Statistical Modeling                                                                                                                                                                                                                                    Quantitative research methods                                                                                                                                                                                                                                    R                                                                                                                                                                                                                                    Python                                                                                                                                                                                                                                    Data Visualization Tools like Tableau                                                                                                                                                                                                                                    Java                                                                                                                                                                                                                                    SQL                                                                                                                                                                                                                                    Machine Learning Algorithms                                                                                                                                                
