Search,Title,Description,Skills,Location,Cities,States,Latitude,Longitude,Min_Salary,Max_Salary,Mean_Salary,URL
Business Intelligence,BI Director,"If you are a BI Director with experience, please read on!Based in beautiful ""River City"" Austin Texas we are a caring, collaborative and committed company that specializes in health care. Due to growth and demand for our services, we are in need of hiring for a Data Developer that possesses strong experience with SQL Development, Data warehouse, and performance tuning.  We are not only committed to the health of the Texas communities we serve but also our employees.If you are interested in joining an attentive company that pushes the envelope in the health care industry and definitely cares about providing a great working environment for its employees, then apply immediately.What You Will Be DoingExperience managing a team 8+ years of experience in related field Experience with data integration and data warehouses/marts supporting BI/reporting Proficiency creating visualizations with Tableau, Jaspersoft or other reports tool Experience with Big Data analytics and tools Experience with SQL and NoSQL Databases (PostgreSQL and MongoDB preferred) Outstanding analytical and problem-solving skills, capable of learning new technologies Ability to visualize dashboards and reports, while working with large datasets Strong soft skills (e.g., communication, interpersonal, collaborative, resilient) Understand basic fundamentals of iterative development Understand basic fundamentals of software development processes and procedures Understand incremental delivery and the value of metrics Experience and familiarity with common Agile practices, service-oriented environments, and better development practices in a Microservices environment. Agile experience QA familiarity GIT and JIRA experience Must be able to pass background investigation Must be forward thinking and passionate problem solver able to work in a group environment that contributes to global client and company mission and culture Able to take on new challenges and professionally communicate and collaborate with peers and executive client and corporate leadershipWhat You Need for this PositionAt Least 7-8 Years of experience and knowledge of:Strong knowledge of Transact/MS SQL and Advanced SQL querying techniques including Windowing Functions.Must possess knowledge of how to tune and optimize SQL Server database and solutions including partitioning, indexing, de-normalization etc.Need to have working knowledge of Query Execution Plan and Execution StatisticsExpert in creating tables, indexes, keys, constraints and triggers to facilitate efficient data manipulation, integration and consistency.Excellent understanding of Entity-Relationship/Multidimensional Data Modeling (Star schema, Snowflake schema), Data Warehouse Life Cycle and SQL Server Analysis Services (SSAS).Knowledge of newer database architectures, tools and best practices for SQL Server including ORM mapping tools, including but not limited to NoSQL, BigData, Analytics etc.Either a 4 year degree of 7-8 years of experience in business reporting and Analytics, preferably in healthcare.What's In It for You- Vacation/PTO (8 Paid Holidays)- Medical- Dental- Vision- 401(k) with discretionary employer match- Flexible Spending Accounts (FSAs) and Health Savings Accounts (HSAs)- Life Insurance (paid by the company) - Short-Term and Long-Term Disability Insurance (paid by the company) - Tuition Reimbursement Program- 130k-160k DOESo, if you are a BI Director with experience, please apply today!                                    ","BI Reporting, Data Integration, ETL, data documentation deliverables, Analytics, Data Delivery, SQL, Data Warehousing","Austin, TX",Austin,TX,30.267153,-97.7430608,130000,160000,145000.0,https://www.cybercoders.com/bi-director-job-427363
Business Intelligence,BI Report Developer,"If you are a BI Report Developer with experience, please read on!We are a strong global organization looking for a Business Intelligence Report Developer who is strong in MS SQL Server with SSIS and SSRS.  This person should be familiar with Tableau because so much of what we produce reporting wise uses it. This is a new role, which is business facing to gather the requirements and create the specifications for what the business needs are.   You must have a strong background in MS SQL Server, data warehousing, ETL tools, SSIS and SSRS for reporting and dashboards. You will be hands on building the reports and dashboards in addition to managing the projects and working with the business and technical teams.   You must have a heavy background in SSRS with knowledge of or a willingness to learn Tableau.  You will be involved in the entire SDLC of the reporting solutions which will include user acceptance testing and owning that effort.What You Need for this PositionRequirements:Bachelor's degree in Computer Science or related field5+ years working in a data warehouse environment2+ years building reports  in a MS SQL Server environment which includes SSRS2+ years working with ETL tools, SSISExperience working with the business community to determine requirements, business analysisAbility to run projects from end to endExperience with User Acceptance TestingExperience with Tableau is strongly desiredWhat's In It for YouWe offer a solid compensation package in an environment of leaders and the ability to grow.Local Candidates ONLY please.So, if you are a BI Report Developer with experience, please apply today!                                    ","Business Intelligence, MS SQL Server, Ssrs, Ssis, ETL, Business Analysis, Dashboards, Reports, Tableau","White Plains, NY",White Plains,NY,41.03398620000001,-73.7629097,90000,110000,100000.0,https://www.cybercoders.com/bi-report-developer-job-396221
Business Intelligence,BI Report Developer,"If you are a BI Report Developer with experience, please read on!We are a strong global organization looking for a Business Intelligence Report Developer who is strong in MS SQL Server with SSIS and SSRS and Tableau.  This person should be familiar with Tableau because so much of what we produce reporting wise uses it. This is a new role, which is business facing to gather the requirements and create the specifications for what the business needs are.   You must have a strong background in MS SQL Server, data warehousing, ETL tools, SSIS and SSRS for reporting and dashboards. You will be hands on building the reports and dashboards in addition to managing the projects and working with the business and technical teams.   You must have a heavy background in SSRS with experience building dashboards in Tableau.  You will be involved in the entire SDLC of the reporting solutions which will include user acceptance testing and owning that effort.What You Need for this PositionRequirements:Bachelor's degree in Computer Science or related field5+ years working in a data warehouse environment2+ years building reports  in a MS SQL Server environment which includes SSRS2+ years working with ETL tools, SSIS2+ years of experience with Tableau Experience working with the business community to determine requirements, business analysisAbility to run projects from end to endExperience with User Acceptance TestingWhat's In It for YouWe offer a solid compensation package in an environment of leaders and the ability to grow.Local Candidates ONLY please.So, if you are a BI Report Developer with experience, please apply today!                                    ","Business Intelligence, MS SQL Server, Ssrs, Ssis, ETL, Business Analysis, Dashboards, Reports, Tableau","White Plains, NY",White Plains,NY,41.03398620000001,-73.7629097,90000,110000,100000.0,https://www.cybercoders.com/bi-report-developer-job-422732
Business Intelligence,Sr. Business Intelligence Developer,"If you are a Sr. Business Intelligence Developer with experience, please read on!Top Reasons to Work with UsBased in Irvine, CA, we are a leading technology consulting, marketing, and creative partner. We are a consulting firm that delivers tremendous value to our clients using our IT solutions.  We are looking to expand and climb the ladder even further.What You Will Be Doing-You will be translating and taking complex data that you will need to join, blend, and understand to delivery quality solutions-Will deliver projects within stakeholders business by utilizing different tools and methodologies-Identify source data issues/concerns, and work with appropriate personnel to address these issues-Deliver high quality projects on time and budget in fast paced environmentsWhat You Need for this Position3+  years of Business Intelligence DevelopmentAdvanced level in creating reports in at least 2 of the following tools:   - Power BI (preferred),  power pivot, power views, hierarchies, drill through and drill down  - Excel : pivot table and pivot chart  - SSRS : create models, create hierarchiesT-SQLExperience with statistical analysis, forecast modeling and what-if scenarios analysis Background with working directly with stakeholdersExperience mentoring team membersExperience leading projectsWhat's In It for YouWe are offering a compensation package that includes benefits and a salary between $90,000 - $115,000. We are based right in Irvine, CA and have a culture that believes in a friendly work hard/play hard environment. We have ping pong tables, nerf guns, and focus on exceeding expectations.So, if you are a Sr.Level Business Intelligence Developer with experience, please apply today!                                    ","Business Intelligence, Relational Databases, SQL Queries, Power BI, Ssrs, T-SQL","Irvine, CA",Irvine,CA,33.6845673,-117.8265049,90000,110000,100000.0,https://www.cybercoders.com/sr-business-intelligence-developer-job-424457
Business Intelligence,Director of Business Intelligence,"If you are a hands-on Director of Business Intelligence with experience, please read on!The description below is just a sampling of this role.  If you are interested and you feel you fit let's talk and then we can go into much greater detail!We are a well established company and a leader in our niche industry looking for a Director of Business Intelligence to join our team.  You will report in to the senior leadership team working on cloud based business intelligence solutions that affect the retail industry.  We are looking for an individual who is a strong hybrid of heavy technical who can work with the business and take a vision, create the strategy and goals and follow through with the execution.  Working with the business, synthesizing the requirements, set the direction and execute on them!You will have a team of direct reports but you too must be hands-on steeped with Business Intelligence technical skills.  Your role will work closely with the business and create the BI strategy that works with their goals and then follow the BI program through to implementation and performance going forward.  You will lead the organization and direction for the cloud Enterprise Data Warehouse, Master Data Management and Data Quality.   You must be comfortable working hands-on with databases (SQL Server), ETL tools, and have experience with Windows and Linux shell scripting and an expert with SQL.  Our environment is SQL Server, Redshift, Tableau and PostgreSQL and we are expecting you to have experience with all of them.  You must also be very strong in AWS with some knowledge of Azure.  AWS Certified Solutions Architect highly preferred!This role is all about data with a tremendous amount of reporting, therefore experience in Analytics is another strong requirement.   You will use your analytics background to create metrics that analyze the performance of the business program. Due to the nature of our business there are many programs happening at the same time so you must be able to create strong business relationships, determine priorities and manage your team to meet timely deliverables.We are leading edge and you must stay on top of all new technologies in the Business Intelligence space and prototype and/or introduce new tools and ideas that keep our company innovative and ahead of the game!What You Need for this PositionRequirements:Bachelor's degree in Computer Science, Informatics, Analytics, Data Science or related field8 + years of professional information technology experience 8 + years of focusing on Business Intelligence solutions working closely with the business on vision, design and executionYou must have at least 2 full life cycle Data Warehouse implementationsStrong Experience with AWSStrong experience with Cloud Enterprise Data Warehouse solutions, building datawarehouses, ETL toolsWindows and Linux shell scriptingExperience with analyticsExperience managing a business intelligence team of at least 5+ membersExperience with Master Data Management and Data QualityExperience with Big DataHands on Experience with the following technologies are required:Amazon RedshiftSQL ServerTableauPostresSQLAWSPluses:AWS Certified Solutions Architect is a HUGE PLUS!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!Azure experienceExperience with PowerBIExperience with Business ObjectsData Science backgroundRetail industry experienceWhat's In It for YouWe offer a strong compensation package which includes base, bonus and benefits in an environment that strives to be on the leading edge!So, if you are a Director of Business Intelligence with experience, please apply today!Local Candidates ONLY please.                                    ","Business Intelligence, Data Warehousing, AWS, Azure, Analytics, Amazon RedShift, Oracle, Business Objects, Tableau, PowerBI","San Diego, CA",San Diego,CA,32.715738,-117.1610838,Unknown,Unknown,Unknown,https://www.cybercoders.com/director-of-business-intelligence-job-425947
Business Intelligence,Director of Business Intelligence,"If you are a hands-on Director of Business Intelligence with experience, please read on!The description below is just a sampling of this role.  If you are interested and you feel you fit let's talk and then we can go into much greater detail!We are a well established company and a leader in our niche industry looking for a Director of Business Intelligence to join our team.  You will report in to the senior leadership team working on cloud based business intelligence solutions that affect the retail industry.  We are looking for an individual who is a strong hybrid of heavy technical who can work with the business and take a vision, create the strategy and goals and follow through with the execution.  Working with the business, synthesizing the requirements, set the direction and execute on them!You will have a team of direct reports but you too must be hands-on steeped with Business Intelligence technical skills.  Your role will work closely with the business and create the BI strategy that works with their goals and then follow the BI program through to implementation and performance going forward.  You will lead the organization and direction for the cloud Enterprise Data Warehouse, Master Data Management and Data Quality.   You must be comfortable working hands-on with databases (SQL Server), ETL tools, and have experience with Windows and Linux shell scripting and an expert with SQL.  Our environment is SQL Server, Redshift, Tableau and PostgreSQL and we are expecting you to have experience with all of them.  You must also be very strong in AWS with some knowledge of Azure.  AWS Certified Solutions Architect highly preferred!This role is all about data with a tremendous amount of reporting, therefore experience in Analytics is another strong requirement.   You will use your analytics background to create metrics that analyze the performance of the business program. Due to the nature of our business there are many programs happening at the same time so you must be able to create strong business relationships, determine priorities and manage your team to meet timely deliverables.We are leading edge and you must stay on top of all new technologies in the Business Intelligence space and prototype and/or introduce new tools and ideas that keep our company innovative and ahead of the game!What You Need for this PositionRequirements:Bachelor's degree in Computer Science, Informatics, Analytics, Data Science or related field8 + years of professional information technology experience 8 + years of focusing on Business Intelligence solutions working closely with the business on vision, design and executionYou must have at least 2 full life cycle Data Warehouse implementationsStrong Experience with AWSStrong experience with Cloud Enterprise Data Warehouse solutions, building datawarehouses, ETL toolsWindows and Linux shell scriptingExperience with analyticsExperience managing a business intelligence team of at least 5+ membersExperience with Master Data Management and Data QualityExperience with Big DataHands on Experience with the following technologies are required:Amazon RedshiftSQL ServerTableauPostresSQLAWSPluses:AWS Certified Solutions Architect is a HUGE PLUS!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!Azure experienceExperience with PowerBIExperience with Business ObjectsData Science backgroundRetail industry experienceWhat's In It for YouWe offer a strong compensation package which includes base, bonus and benefits in an environment that strives to be on the leading edge!So, if you are a Director of Business Intelligence with experience, please apply today!Local Candidates ONLY please.                                    ","Business Intelligence, Data Warehousing, AWS, Azure, Analytics, Amazon RedShift, Oracle, Business Objects, Tableau, PowerBI","Irvine, CA",Irvine,CA,33.6845673,-117.8265049,Unknown,Unknown,Unknown,https://www.cybercoders.com/director-of-business-intelligence-job-425952
Business Intelligence,Oracle BI Solution Architect,"If you are a Oracle BI Solution Architect with experience, please read on!What You Will Be Doing-Conducts business process analyses, needs assessments, and preliminary cost/benefits analyses in an effort to align information technology solutions with business initiatives.-Works with business users to define and analyze problems and align the most appropriate technical, application or configuration solutions.-Solicits, develops, documents and manages requirements and provides detailed design and business processes to support the requirements throughout the project life cycle up to and through change control.-Considers the business implications of the application of technology to the current and future business environment.-Reviews system test plans and system tests applications to ensure successful test cycles.-Creates, reviews and delivers end-user documentation (user guide, process flow charts, and training materials) and training for accuracy.-Works with the user to select or create appropriate scenarios to test all results to determine whether system changes met project specifications; uses scenarios to assist the end user in acceptance testing.-In upgrades, monitors production performance enhancements and system integrity with end-users.-Develops detailed implementation and upgrade project plans in conjunction with other account team associates.-Ensures that documentation is updated when change requests are approved for the project.-Provides expert input on processes, procedures, or new approaches.-Leads large scale or complex business systems and application upgrades/ enhancement development and installations.-Evaluates user requirements for one or more specialized reporting solution need and translates those needs into defined user assessment plans or specifications -used in determining end-user business or technical needs.-Technical expert in more than one reporting technology.-Serves as a functional/technical resource and mentors the business organization-Defines cost and time estimates for implementation/ development projects.-Develops project plans, user acceptance test plans and communication plans for knowledge transfer to end-user.-Creates business process and data flow charts for customer and technical review.-Works on complex issues where analysis of situations or data requires an in-depth evaluation of variable factors.-Serves as the subject matter expert and consulting resource for data management and reporting.-Works on applications and business problems that are highly complex and diverse in scope and may include and project size, multiple applications, multiple I/T segments, contractors, global rollout, new technologies, new architectures.What You Need for this Position-Expert Knowledge of system development methodology, project management, analytical/problem solving skills and relevant development and technology skills. - Advanced knowledge of and ability to put into practice commonly used SDLC methodologies (Waterfall, Agile, etc.).Advanced technical knowledge of the OBIEE Oracle reporting platform 11g or above including Essbase/Smart View, Data Visualization, Analysis and Reporting.- Advanced technical knowledge of PL SQL, transactional SQL, and SQL Developer or like tool to develop views, queries and stored procedures to support transactional reporting.- Advanced technical knowledge of scripting tools and approaches, scheduling approaches to develop automated scripts to load databases and cubes.- Advanced knowledge of at least one ETL Orchestration tool such as Oracle Data Integrator (ODI), Informatica PowerCenter, Talend Enterprise Data Integration Services, ODI preferred.- Advanced knowledge in the administration, maintenance, provisioning and metadata creation of OBIEE/Essbase or like BI toolsets; Cognos experience a plus to support the migration.Language and Communication Skills: Must possess excellent facilitation and communication skills, and able to adapt to the level and nature of their audience.-Working knowledge of the supported business functions and processes, including: Financial Accounting, General Accounting, Sales and Distribution, Procurement and Cost Accounting for proper reporting.- Working knowledge of the basics of the Oracle R12 business Suite data model to ensure effective and optimal design, deployment and support of Oracle based reporting solutions.- Undergraduate degree and 10+ years relevant experience or Graduate degree and 8+ years relevant experience.So, if you are a Oracle BI Solution Architect with experience, please apply today!                                    ","SDLC Methodologies, Oracle R12 business Suite, PL/SQL, ETL, Oracle data integrator (ODI), Informatica PowerCenter, OBIEE/Essbase, BI toolsets","Irvine, CA",Irvine,CA,33.6845673,-117.8265049,Unknown,Unknown,Unknown,https://www.cybercoders.com/oracle-bi-solution-architect-job-428356
Business Intelligence,Oracle BI Solution Architect,"If you are a Oracle BI Solution Architect with experience, please read on!What You Will Be Doing-Conducts business process analyses, needs assessments, and preliminary cost/benefits analyses in an effort to align information technology solutions with business initiatives.-Works with business users to define and analyze problems and align the most appropriate technical, application or configuration solutions.-Solicits, develops, documents and manages requirements and provides detailed design and business processes to support the requirements throughout the project life cycle up to and through change control.-Considers the business implications of the application of technology to the current and future business environment.-Reviews system test plans and system tests applications to ensure successful test cycles.-Creates, reviews and delivers end-user documentation (user guide, process flow charts, and training materials) and training for accuracy.-Works with the user to select or create appropriate scenarios to test all results to determine whether system changes met project specifications; uses scenarios to assist the end user in acceptance testing.-In upgrades, monitors production performance enhancements and system integrity with end-users.-Develops detailed implementation and upgrade project plans in conjunction with other account team associates.-Ensures that documentation is updated when change requests are approved for the project.-Provides expert input on processes, procedures, or new approaches.-Leads large scale or complex business systems and application upgrades/ enhancement development and installations.-Evaluates user requirements for one or more specialized reporting solution need and translates those needs into defined user assessment plans or specifications -used in determining end-user business or technical needs.-Technical expert in more than one reporting technology.-Serves as a functional/technical resource and mentors the business organization-Defines cost and time estimates for implementation/ development projects.-Develops project plans, user acceptance test plans and communication plans for knowledge transfer to end-user.-Creates business process and data flow charts for customer and technical review.-Works on complex issues where analysis of situations or data requires an in-depth evaluation of variable factors.-Serves as the subject matter expert and consulting resource for data management and reporting.-Works on applications and business problems that are highly complex and diverse in scope and may include and project size, multiple applications, multiple I/T segments, contractors, global rollout, new technologies, new architectures.What You Need for this Position-Expert Knowledge of system development methodology, project management, analytical/problem solving skills and relevant development and technology skills. - Advanced knowledge of and ability to put into practice commonly used SDLC methodologies (Waterfall, Agile, etc.).Advanced technical knowledge of the OBIEE Oracle reporting platform 11g or above including Essbase/Smart View, Data Visualization, Analysis and Reporting.- Advanced technical knowledge of PL SQL, transactional SQL, and SQL Developer or like tool to develop views, queries and stored procedures to support transactional reporting.- Advanced technical knowledge of scripting tools and approaches, scheduling approaches to develop automated scripts to load databases and cubes.- Advanced knowledge of at least one ETL Orchestration tool such as Oracle Data Integrator (ODI), Informatica PowerCenter, Talend Enterprise Data Integration Services, ODI preferred.- Advanced knowledge in the administration, maintenance, provisioning and metadata creation of OBIEE/Essbase or like BI toolsets; Cognos experience a plus to support the migration.Language and Communication Skills: Must possess excellent facilitation and communication skills, and able to adapt to the level and nature of their audience.-Working knowledge of the supported business functions and processes, including: Financial Accounting, General Accounting, Sales and Distribution, Procurement and Cost Accounting for proper reporting.- Working knowledge of the basics of the Oracle R12 business Suite data model to ensure effective and optimal design, deployment and support of Oracle based reporting solutions.- Undergraduate degree and 10+ years relevant experience or Graduate degree and 8+ years relevant experience.So, if you are a Oracle BI Solution Architect with experience, please apply today!                                    ","SDLC Methodologies, Oracle R12 business Suite, PL/SQL, ETL, Oracle data integrator (ODI), Informatica PowerCenter, OBIEE/Essbase, BI toolsets","Costa Mesa, CA",Costa Mesa,CA,33.6412156,-117.9188221,Unknown,Unknown,Unknown,https://www.cybercoders.com/oracle-bi-solution-architect-job-428421
Business Intelligence,Product Manager - Business Intelligence,"If you are a Product Manager with Business Intelligence experience, you'll want to read this...Based in beautiful Port Washington, New York, we are the leading provider of workforce and operational management solutions in the hospital/healthcare/home care industry.  For 35 years we have delivered innovative and efficient technology solutions to ALL of our stakeholders throughout the country. Our biggest asset is our amazing team, being rated one of the best places to work in NY.We are looking to bring on a Product Manager with BI experience to join our rapidly growing team in New York.What You Will Be DoingYou will be responsible for the ownership of Business Intelligence including managing the prioritization and release process and ensuring that their product is being developed with the needs of the organization and its clients being considered.What You Need for this PositionExperience with the following:- Product Management- Business Intelligence- Product Roadmapping- Analytics- Quality Assurance- Software Development Methodologies- Release Management- Product DeliveryNice to have:- Knowledge of Medicaid Programs- UI Principles- SQL Queries- Understanding of EDI- Product Management CertificationsWhat's In It for You- Very Competitive Compensation- Flexible working schedule and hours- Great working culture (low bureaucracy, great team)- Innovative work environment- Team outings!- 125 Flex Plan- Vacation and Holiday- Medical and Dental Coverage- 401(k) planSo, if you are a Product Manager - Business Intelligence with experience, please apply today!                                    ","Product Management, Business Intelligence, Product Roadmapping, Analytics, Quality Assurance, Software Development Methodologies, Release Management, Product Delivery","Port Washington, NY",Port Washington,NY,40.8256561,-73.69818579999999,Unknown,Unknown,Unknown,https://www.cybercoders.com/product-manager-business-intelligence-job-426225
Business Intelligence,Senior Claims Representative - BI experience!,"Do you have experience in Senior Claims? Does your background include Bodily Injury Claims? Do you have AT LEAST 5 years of experience? Then this is the position for you!We are definitely not new to the rodeo. We have been around since 1976 and based out of Kansas City! Although we are headquartered in Kansas City, we also provide services in Arkansas, Kansas, Missouri and Oklahoma. We are proud to say that we offer auto insurance that is fast, easy and reasonably priced. THIS WILL REQUIRE TO HAVE THE ABILITY TO MAINTAIN AN ADJUSTERS LICENSE IN REQUIRED STATESWhat You Will Be DoingResponsibilities include, but are not limited to:- Handle bodily injury claims- Handle associated property damage claims- Investigate accidents- Handle coverage, liability and damages- Provide detailed responses to agent (in a timely manner)- Negotiates, settles and/or resolves claimsWhat You Need for this PositionAt least 5 Years of experience and knowledge of:- Bodily Injury Claims- Associated Property Damage Claims that result from an automobile accident- Coverage- Liability- Damages- Working with agents, the insured and claimants- Negotiating- Settlements- Proficiency in the use of Word and ExcelNice to Have Skills:- Strong verbal and written communication skills- Good time management skills- Ability to work in a fast paced environment- Ability to deliver excellent customer serviceWhat's In It for You- Medical- Dental- Vision- Life Insurance- 401K- Training and career development- Opportunities for advancementSo, if you are a Senior Claims Representative - BI experience! with experience, please apply today!                                    ","Insurance, Claims, Bodily Injury, Litigation, Coverage, damages, Estimates","Kansas City, MO",Kansas City,MO,39.0997265,-94.5785667,Unknown,Unknown,Unknown,https://www.cybercoders.com/senior-claims-representative-bi-experience-job-421945
