Search,Title,Description,Skills,Location,Cities,States,Latitude,Longitude,Min_Salary,Max_Salary,Mean_Salary,URL
Finance,Finance Administrator,"We are a large and iconic fixture in Los Angeles with a foot traffic of well over a million visitors that stream into our multiple locations every year from around the world.Our corporate office is tucked away in the middle of one of our main attractions in Downtown LA, which is home to a few hundred employees. We are looking for an enigma of a candidate at this location--someone light but polished and can hit the ground running despite not having much prior experience.As a not-for-profit, our compensation will likely not be competitive to market. We do offer great work/life and benefits, but if money is your #1 then this opportunity is not for you.If you are a Finance Administrator with experience, please read on!What You Will Be DoingThere are a lot of other ad hoc responsibilities involved, but this essentially a hybrid Financial Operations and Admin Support role.What You Need for this PositionAt Least 1 Year of experience and knowledge of:- Financial Operations- Finance AdministrationSo, if you are a Financial Admin with experience, please apply today!                                    ","['financial operations', 'Finance Administrations', 'Admin Support']","Los Angeles, CA",Los Angeles,CA,34.0522342,-118.2436849,40000,50000,45000.0,https://www.cybercoders.com/finance-administrator-job-420987
Finance,Finance Manager with Wallstreet Experience,"If you are a Finance Manager with experience, please read on!Top Reasons to Work with Us- HUGE Room for Growth- Great Work/Life Balance/Autonomy- Competitive PayWhat You Will Be DoingActively involved in sourcing and expanding access to investment opportunity flow, by leveraging existing contacts and selectively building new networks and referral sources.Cultivates and manages relationships with current and prospective partners, brokers, attorneys, consultants, and other industry contacts.Manages resource of supporting internal teams in prioritizing and managing investment opportunity flow given LCS Real Estate investment strategy and external market factors.Models and evaluates risks and returns for investment opportunities.Leads financial analysis of potential new investments and participates in upfront structuring discussions and transaction strategic rationale.Performs financial modeling and valuation analysis. Prepares models and analyses for various structures, including joint ventures/partnership structures.Reviews and assesses investment risks.Interacts with brokers, sellers, and investment bankers to accurately understand and determine transaction assumptions, facts, and risks necessary to properly evaluate an opportunity.Prepares Investment Memorandums and Investment Committee presentations.Leads the due diligence effort for new acquisitions including working closely with attorneys, internal operations leadership, community level staff, and capital partners.Interacts with in-house and outside legal counsel, internal subject matter experts, tax experts, brokers and investment bankers.What You Need for this PositionMore Than 5 Years of experience and knowledge of:- Finding & Securing Capital- Funding- Investment Banking- Financial Analysis- Wallstreet Experience- Private Equity/ Private CaptialWhat's In It for YouFor your hard work, you will be rewarded with a strong compensation package that includes a competitive base salary (D.O.E), excellent medical, dental and health benefits and other cool perks.So, if you are a Finance Manager with experience, please apply today!                                    ","['Finding & Securing Capital', 'Funding', 'Investment Banking', 'Financial Analysis', 'Wallstreet Experience', 'Private Equity', 'Private Capital']","Buena Park, CA",Buena Park,CA,33.8674044,-117.9981387,100000,150000,125000.0,https://www.cybercoders.com/finance-manager-with-wallstreet-experience-job-412890
Finance,Associate Attorney - Finance,"We are an Amlaw 100 firm with a strong presence in the Dallas market. We are seeking a 3rd to 5th year Associate.What's In It for You-Top compensation ($210k - $260k)-Comprehensive benefits package including health, dental, vision, 401k, and more -Partnership-track opportunityWhat You Need for this Position-JD, and admitted to practice in Texas-3-5 years of experience in at least one of the following practice areas: Finance, Corporate, Bankruptcy-Excellent academic credentialsIf you would like to learn more, please apply today. All applications and inquiries will be held in the strictest confidence.                                    ","['Finance', 'Corporate', 'Bankruptcy']","Dallas, TX",Dallas,TX,32.7766642,-96.79698789999999,Unknown,Unknown,Unknown,https://www.cybercoders.com/associate-attorney-finance-job-417271
Finance,Director of Finance- Construction industry,"If you are a Director of Finance and have Construction industry experience, please apply now!! The Director of Finance is primarily responsible for providing financial and accounting leadership and support to assigned markets.  The incumbent will be integral in defining and implementing the most cost effective field finance organization, policies and practices. Responsibilities include, but are not limited to, financial analysis, billing and collections, inventory management, and training and supervision of office personnel.What You Will Be Doing•Define most effective field finance organization to support our organization in the most cost effective structure.•Establish and maintain effective internal control practices and processes to ensure that assets are protected and financial reports are accurate.•Develop, implement and maintain effective and efficient policies and practices for the financial management, accounting, working capital, inventory, payroll, and fixed assets systems and functions.•Assists in the annual budget preparation process and periodic forecast updates for the Markets.•Support due diligence efforts on acquisition targets within assigned markets.•Establish and maintain operating statistics and performance indicators that aid in identifying problems and opportunities and facilitate forecasts of future performance.•Maintains accounting records that are up to date and provide management with current revenues, costs, working capital and job profitability.•Ensure timely and accurate financial reporting, with particular focus on accelerating the closing schedule.•Analyze and understand branch performance.  Articulate performance to regional and branch management to assist them in decision-making. •Identifies opportunities to improve business practices and move the branches toward a uniform system of best practices.•Work closely with the Corporate Finance Team to identify, investigate, and analyze potential branch improvements.  As appropriate, based on findings, makes proposal for changes (policy, procedures, processes, etc.). •Develop and maintain a flexible organization that can meet the needs of its supported branches and produce experienced, qualified professionals for future opportunities.•Evaluate the performance of, and provide training and development opportunities for finance and administrative team; define talent succession plan and ensure bench strength.•Support the  branch managers in creating high performance work environments.•Regularly visit branches to keep an accurate pulse on current business conditions.  •Provide leadership and direction to Finance and Administration field staff.  •Plans, directs and manages branch back-office activities in designated market through management and supervision of office staff: ­Accounts Payable?Purchase order preparation and receiver input?Reconciliation of  purchasing card transactions­Accounts Receivable?Customer invoicing, credit memos and monthly customer statements?Credit & collections management, conduct reference checks and obtain liens, as appropriate?Cash application?Customer account issue resolution­Human Resources & Payroll?Human Resources administration including, benefits administration, new hires, employee changes, workers compensation, substance abuse testing, Motor Vehicle Reports, E-Verify, etc.?Time journal entries?Job journal entries­Inventory & Job Scheduling?Provide inventory count support and ensure proper controls are in place?Manage material usage entries, review, and analyze job schedules for accuracy and completeness, making changes/updates as necessary?Analyze job profitability and report positive/negative trends?Audits the work-in-process revenue recognition process to ensure that any jobs with material margin variances from bid are quickly identified and addressed.­Capital Planning and Budgeting?Assist the branches in assessing, budgeting and acquiring capital assets?Assist in the preparation and review of Capital Expenditure Requests.•Additional duties and projects as assigned or delegated.What You Need for this PositionBachelor’s Degree in Accounting, Finance or related fieldMinimum (7) seven years relevant work experience Prior supervisory experience requiredProficient knowledge of Microsoft Office (Word, Excel, and Outlook)Excellent working knowledge of financial and ERP systemsWell-developed financial analysis capabilities Demonstrated credit and collections management experienceStrong internal financial control experience, budgeting, and financial statement reporting experienceStrong interpersonal, written, and oral communication skills;Excellent analytical abilities; Ability to summarize data and analyze resultsSelf-directed, takes initiative in seeking efficiencies of processes; follow-through on implementationDemonstrated analytical skills and problem solving skillsDemonstrated attention to detail and accuracyProven organizational skills; ability to handle several projects concurrently Team player and ability to work with all levels of employeesMust be able to travel 50% of the timeWhat's In It for YouWork for a stable growing company Competitive comp and benefits package work for a family oriented companySo, if you are a Director of Finance with experience, please apply today!                                    ","['supervisory experience in Finance', 'knowledge of financial and ERP systems', 'financial analysis capabilities', 'credit and collections management experience']","West Palm Beach, FL",West Palm Beach,FL,26.7153424,-80.0533746,Unknown,Unknown,Unknown,https://www.cybercoders.com/director-of-finance-construction-industry-job-419737
Finance,CFO/VP of Finance,"If you are a CFO/VP of Finance with experience, please read on!Top Reasons to Work with UsWHO WE AREWe are one of the world’s leading real estate crowdfunding platforms. We provide investors from around the world with the opportunity to invest in institutional quality real estate. We are a vertically integrated investment platform that finances, develops and manages directly or indirectly each of its properties. We also created the first co-working, co-living and social event spaces crowdfunded by its members. Individuals from 27 countries provided over $150 Million of the total $400 Million needed for the construction of the initial three buildings in New York City.What You Will Be DoingESSENTIAL RESPONSIBILITIES-Oversee and constantly improve daily operations of the finance and accountingdepartment ( e.g day-to-day accounting and payables functions, including financialreporting, treasury, risk management, internal controls, and tax compliance on bothcorporate and project levels, etc.)-Oversee and manage cash flow projections and budget / actual variance reports -Oversee and manage the construction budgets reported to the company by each propertymanager, construction manager and/or developer.-Establish, analyze and monitor GAAP financials for each managed fund complex to enable timely month-end, quarterly and annualfinancial reporting.-Manage annual financial and operational audits -Oversee the integration of finance-related activities in the back-office platform,developed by our in-house technology team.-Design, establish, and maintain an organizational structure and staffing to effectivelyaccomplish the department's goals-Manage and oversee third-party administrator-Ensure compliance with reporting requirements for each fund complex in accordancewith offering documents.-Develop, document and implement company-wide accounting policies, procedures, andinternal controls-Effectively communicate financial reports and financial planning needs to the executiveteam with well-thought out recommendations and strategies/What You Need for this PositionKNOWLEDGE, EDUCATION, SKILLS & ABILITIES-C.P.A.-At least 10 years of accounting experience and at least 3 years of accounting experienceat a real estate private equity-Interest and understanding of the fintech industry-Entrepreneurial spirit; willingness and ability to work in a fast paced “start-up”environment-Doer: Ability to execute and “roll up their sleeves”-Ability to clearly communicate both quantitative and qualitative financial information tomanagement to enable efficient decision making-Efficient and organized; ability to work on many projects at the same time and prioritizeWhat's In It for YouBase Salary $160,000-$250,000 DOE-15 Paid Vacation Days-Paid personal time off (PTO): 2 Days-Prodigy Network offers excellent benefits upon your second month of employmentincluding medical, dental, vision, EAP, and 401KSo, if you are a CFO/VP of Finance with experience, please apply today!                                    ","['CPA', 'Financial Modeling', 'Forecasting', 'Accounting', 'Financial Statements', 'Real Estate', 'Private Equity']","New York City, NY",New York City,NY,40.7127753,-74.0059728,160000,250000,205000.0,https://www.cybercoders.com/cfo-vp-of-finance-job-421887
Finance,"Manager, Corporate Finance","If you are an Corporate Finance Manager with English and Korean Language proficiency, please read on!We are one of the world's largest fashion and cosmetics brands manufacturers committed to providing high-quality products and services with a focus on industry safety and innovation. Known globally for our excellence in multiple cosmetic categories, fashionable colors and iconic names, we believe great gifts often come in small packages. We are seeking an awesome Manager, Corporate Finance and or Accounting to join our team.Top Reasons to Work with Us- Nationally Recognized Fashion and Cosmetics Brand- Excellent Compensation + Bonus Opportunities- Fantastic Team and Notable Leadership- Generous Benefits Package + Vacation/PTO- Outstanding Opportunity to work with an Enterprise OrganizationWhat You Will Be Doing• Analyzing inflows/outflows of cash and using your finding to forecast daily, weekly, monthly, quarterly and annual cash balances• Work with sales, solutions engineering, legal and finance teams to understand customer needs and develop strategy for the proposal response• Executing/processing financial transactions• Maintain high level of detail when building quote proposals based on customer data• Investigate/anticipate any increases or decreases in cash versus forecast• Communicating professionally and constructively to effectively resolve issues in order to minimize risk and exposure• Ensuring clients are provided with accurate financial information and ensure the company is in compliance with all banking rules/standards• Providing superior client service, research and resolutionWhat You Need for this Position• At  least 7 years of experience in the Finance/Accounting field• Bilingual in Korean and English• Demonstrated knowledge and understanding of professional accounting principles and practices (US GAAP) and the ability to apply the knowledge• High level of analytical skills with demonstrated ability to synthesize financial and non-financial information in order to develop activity-based costing tools and methodologiesSo, if you are a Corporate Finance Manager looking for an awesome new opportunity, please apply today!                                    ","['Bilingual Korean', 'Financial Analysis', 'Forecasting', 'Financial Modeling', 'Excel']","Queens, NY",Queens,NY,40.7282239,-73.7948516,Unknown,Unknown,Unknown,https://www.cybercoders.com/manager-corporate-finance-job-423314
Finance,Finance and Business Operations Manager,"If you're a Finance Manager with experience, please read on!Top Reasons to Work with Us1.Industry Leader2.Talented technical team3.Upward career growthWhat You Will Be Doing•Assist the sales professionals by providing financial information necessary to complete a purchase•Meet with customers to discuss loans, rates, payments, etc. •Process credit application and secure financing•Coordinate delivery date with customer and service department•Ensure trade-in evaluation process, when applicable•Assist Accounting in all aspects of closing and posting sales•Ensure work order is completed and forwarded to service department•Prepare loan packages for immediate fundingWhat You Need for this Position•Bachelors degree and 4+ years’ experience in Finance or Accounting desired (CPA preferred)•Prior experience in the marine industry a plus •ERP systems experience preferred •Customer-focused mentality •Proficiency in Microsoft Office suite, as well as Outlook, Internet, Google applications, etc.What's In It for YouEXCELLENT benefits Including:- Competitive salaries - Vacation/PTO- Medical- Dental- Vision- 401(k) and much more!So, if you're a Finance Manager with experience, please apply today!                                    ","['Finance Manager', 'Accounting', 'GL Accounting', 'Secure Financing', 'Loan Processing', 'refinance', 'Luxury Retail', 'Sales Forecasting/budgeting/analysis']","Monmouth Beach, NJ",Monmouth Beach,NJ,40.3303883,-73.98152619999999,Unknown,Unknown,Unknown,https://www.cybercoders.com/finance-and-business-operations-manager-job-424506
Finance,Director of Accounting and Finance,"If you are a Director of Accounting and Finance with payroll accounting and leadership experience, please read on!What You Need for this Position- Undergraduate Degree in Accounting preferred- Must have a CPA certification - Minimum 10 years of Public Accounting or Private Industry accounting experience- Proficiency with Infor VISUAL ERP system- Prior management experience required, preferably in automotive component (metals) manufacturing- Strong knowledge of U.S. GAAP, internal controls, cost accounting and financial reporting required- Excellent computer skills including Microsoft Office Suite; advanced experience with ExcelWhat You Will Be Doing- Oversees the general accounting function, which includes inter-company accounting, cost accounting, cash management/reconciliation, payroll, inventory management, fixed asset management and benefit management- Coordinate year end external audit, including preparation of year end audit workpapers- Prepares annual budget and financial forecasts- Prepares monthly plant and quarterly executive business presentations- Ensures financial records and reports are prepared in compliance with company policies and in accordance with GAAP- Directs completion of Federal and State tax reporting requirements (including property, sales and use, payroll and other local taxes), insurance reports and other reports required by government regulation- Assists Corporate with dealing with tax related issues and meeting reporting requirements- Manage steel surcharge inventory to ensure company is maximizing recovery of pass through costs to customers- Assist Human Resource department to ensure the accuracy of benefit administration- Administer defined benefit and defined contribution plans to ensure compliance with plan documents- Identify and quantify financial and business risks; comment and make recommendations- Quantify and analyze performance metrics; comment and make recommendationsWhat's In It for You- Full benefits- Direct reports- Small team environment- Competitive compensationSo, if you are a Director of Accounting and Finance with payroll accounting and leadership experience, please apply today!                                    ","['Director of Accounting and Finance', 'General Accounting', 'Financial Reporting', 'Infor VISUAL ERP', 'Public Accounting', 'CPA']","Meadville, PA",Meadville,PA,41.6414438,-80.15144839999999,95000,120000,107500.0,https://www.cybercoders.com/director-of-accounting-and-finance-job-424801
Finance,Corporate Associate - Aviation Finance,"If you are a Corporate Associate from the JD classes of 2011-2013 with 3+ years of experience, please read on!Located steps from Battery Park in New York City, we're a nationally recognized law firm with a strong history of success and we're looking for a Corporate Associate to join our Aviation Finance team.What You Will Be DoingIn this role, you will join a diverse corporate practice in a position that will focus on aviation finance; representing financial institutions, aircraft lessors, airlines and private investors in financing, leasing, securitization, acquisition and disposition of aircrafts.What You Need for this Position- Experience with corporate aviation.- The ideal candidate must have demonstrated the ability to assist in establishing and maintaining strong working relationships with sophisticated clients and who can demonstrate the ability to prioritize and handle a diverse range of matters within assigned responsibility for client groups, while remaining sensitive to competing client demands. - Candidates must be a team player, with demonstrated capability in working in a dynamic, complex and demanding environment. All candidates must have stellar employment history (limited changes since graduation); relevant in-house experience is preferred. Interested candidates must have top academic credentials.What's In It for You- Competitive salary- Great company culture - Vacation/Sick Time/Paid Holidays- Medical/Dental/Vision Insurance- 401(k) plan- Child CareSo, if you are a Corporate Associate with 3-5 years of experience, please apply today!                                    ","['Juris Doctor', 'Aviation Finance', 'Lawyer', 'Attorney', 'New York Bar Admission']","New York City, NY",New York City,NY,40.7127753,-74.0059728,Unknown,Unknown,Unknown,https://www.cybercoders.com/corporate-associate-aviation-finance-job-396608
Finance,Finance & Insurance/Business Manager,"If you are a Finance & Insurance/Business Manager with experience, please read on!Top Reasons to Work with Us- Health, Dental, Vision, Life Insurance!- Long Term & Short Term Disability!- 401k match!- Paid Time off!- Much More!What You Will Be DoingYou will be responsible for the financing and closing functions of every sales process to new and used buyers. You will being working with financial institutions to secure interest rates and financing programs. You will also be working closely with aftermarket products, process credit applications and secure financing with the customers. If you are interested please apply today!What You Need for this PositionAt Least 1 Year of experience and knowledge of:- Finance- Insurance- Business Manager- Analysis- Account Management- AnalyticsSo, if you are a Finance & Insurance/Business Manager with experience, please apply today!                                    ","['Finance', 'Insurance', 'Business Manager', 'Analysis', 'Account Management', 'Analytics']","Round Lake, IL",Round Lake,IL,42.353355,-88.0934145,Unknown,Unknown,Unknown,https://www.cybercoders.com/finance-insurance-business-manager-job-426973
