Search,Title,Location,Cities,States,Latitude,Longitude,Description,Skills,Min_Salary,Max_Salary,Mean_Salary,URL
Business Intelligence,BI Director,"Austin, TX",Austin,TX,30.267153000000004,-97.7430608,"If you are a BI Director with experience, please read on!Based in beautiful ""River City"" Austin Texas we are a caring, collaborative and committed company that specializes in health care. Due to growth and demand for our services, we are in need of hiring for a Data Developer that possesses strong experience with SQL Development, Data warehouse, and performance tuning.  We are not only committed to the health of the Texas communities we serve but also our employees.If you are interested in joining an attentive company that pushes the envelope in the health care industry and definitely cares about providing a great working environment for its employees, then apply immediately.What You Will Be DoingThis role actively participates as a Senior Database Developer contributing to SQL Development and has experience in SQL Server 2008 and above.   You will work on data warehouse design and development entity relationship model design, good data typing practices, index management, data management, and data security.  Expert level knowledge of TSQL, performance tuning, Query Plans, and Query Plan optimization for TSQL.  Be able to understand the development of BI/DW architectures.What You Need for this PositionAt Least 5 Years of experience and knowledge of:Strong knowledge of Transact/MS SQL and Advanced SQL querying techniques including Windowing Functions.Must possess knowledge of how to tune and optimize SQL Server database and solutions including partitioning, indexing, de-normalization etc.Need to have working knowledge of Query Execution Plan and Execution StatisticsExpert in creating tables, indexes, keys, constraints and triggers to facilitate efficient data manipulation, integration and consistency.Excellent understanding of Entity-Relationship/Multidimensional Data Modeling (Star schema, Snowflake schema), Data Warehouse Life Cycle and SQL Server Analysis Services (SSAS).Knowledge of newer database architectures, tools and best practices for SQL Server including ORM mapping tools, including but not limited to NoSQL, BigData, Analytics etc.What's In It for You- Vacation/PTO (8 Paid Holidays)- Medical- Dental- Vision- 401(k) with discretionary employer match- Flexible Spending Accounts (FSAs) and Health Savings Accounts (HSAs)- Life Insurance (paid by the company) - Short-Term and Long-Term Disability Insurance (paid by the company) - Tuition Reimbursement Program- 130k-160k DOESo, if you are a BI Director with experience, please apply today!                                    ",['BI ReportingData IntegrationETLdata documentation deliverablesAnalyticsData DeliverySQLData Warehousin'],130000,160000,145000.0,https://www.cybercoders.com/bi-director-job-427363
Business Intelligence,BI Report Developer,"White Plains, NY",White Plains,NY,41.03398620000001,-73.76290970000001,"If you are a BI Report Developer with experience, please read on!We are a strong global organization looking for a Business Intelligence Report Developer who is strong in MS SQL Server with SSIS and SSRS.  This person should be familiar with Tableau because so much of what we produce reporting wise uses it. This is a new role, which is business facing to gather the requirements and create the specifications for what the business needs are.   You must have a strong background in MS SQL Server, data warehousing, ETL tools, SSIS and SSRS for reporting and dashboards. You will be hands on building the reports and dashboards in addition to managing the projects and working with the business and technical teams.   You must have a heavy background in SSRS with knowledge of or a willingness to learn Tableau.  You will be involved in the entire SDLC of the reporting solutions which will include user acceptance testing and owning that effort.What You Need for this PositionRequirements:Bachelor's degree in Computer Science or related field5+ years working in a data warehouse environment2+ years building reports  in a MS SQL Server environment which includes SSRS2+ years working with ETL tools, SSISExperience working with the business community to determine requirements, business analysisAbility to run projects from end to endExperience with User Acceptance TestingExperience with Tableau is strongly desiredWhat's In It for YouWe offer a solid compensation package in an environment of leaders and the ability to grow.Local Candidates ONLY please.So, if you are a BI Report Developer with experience, please apply today!                                    ",['Business IntelligenceMS SQL ServerSsrsSsisETLBusiness AnalysisDashboardsReportsTablea'],90000,110000,100000.0,https://www.cybercoders.com/bi-report-developer-job-396221
Business Intelligence,BI Report Developer,"White Plains, NY",White Plains,NY,41.03398620000001,-73.76290970000001,"If you are a BI Report Developer with experience, please read on!We are a strong global organization looking for a Business Intelligence Report Developer who is strong in MS SQL Server with SSIS and SSRS and Tableau.  This person should be familiar with Tableau because so much of what we produce reporting wise uses it. This is a new role, which is business facing to gather the requirements and create the specifications for what the business needs are.   You must have a strong background in MS SQL Server, data warehousing, ETL tools, SSIS and SSRS for reporting and dashboards. You will be hands on building the reports and dashboards in addition to managing the projects and working with the business and technical teams.   You must have a heavy background in SSRS with experience building dashboards in Tableau.  You will be involved in the entire SDLC of the reporting solutions which will include user acceptance testing and owning that effort.What You Need for this PositionRequirements:Bachelor's degree in Computer Science or related field5+ years working in a data warehouse environment2+ years building reports  in a MS SQL Server environment which includes SSRS2+ years working with ETL tools, SSIS2+ years of experience with Tableau Experience working with the business community to determine requirements, business analysisAbility to run projects from end to endExperience with User Acceptance TestingWhat's In It for YouWe offer a solid compensation package in an environment of leaders and the ability to grow.Local Candidates ONLY please.So, if you are a BI Report Developer with experience, please apply today!                                    ",['Business IntelligenceMS SQL ServerSsrsSsisETLBusiness AnalysisDashboardsReportsTablea'],90000,110000,100000.0,https://www.cybercoders.com/bi-report-developer-job-422732
Business Intelligence,Sr. Business Intelligence Developer,"Irvine, CA",Irvine,CA,33.6845673,-117.82650490000002,"If you are a Sr. Business Intelligence Developer with experience, please read on!Top Reasons to Work with UsBased in Irvine, CA, we are a leading technology consulting, marketing, and creative partner. We are a consulting firm that delivers tremendous value to our clients using our IT solutions.  We are looking to expand and climb the ladder even further.What You Will Be Doing-You will be translating and taking complex data that you will need to join, blend, and understand to delivery quality solutions-Will deliver projects within stakeholders business by utilizing different tools and methodologies-Identify source data issues/concerns, and work with appropriate personnel to address these issues-Deliver high quality projects on time and budget in fast paced environmentsWhat You Need for this Position3+  years of Business Intelligence DevelopmentAdvanced level in creating reports in at least 2 of the following tools:   - Power BI (preferred),  power pivot, power views, hierarchies, drill through and drill down  - Excel : pivot table and pivot chart  - SSRS : create models, create hierarchiesT-SQLExperience with statistical analysis, forecast modeling and what-if scenarios analysis Background with working directly with stakeholdersExperience mentoring team membersExperience leading projectsWhat's In It for YouWe are offering a compensation package that includes benefits and a salary between $90,000 - $115,000. We are based right in Irvine, CA and have a culture that believes in a friendly work hard/play hard environment. We have ping pong tables, nerf guns, and focus on exceeding expectations.So, if you are a Sr.Level Business Intelligence Developer with experience, please apply today!                                    ",['Business IntelligenceRelational DatabasesSQL QueriesPower BISsrsT-SQ'],90000,110000,100000.0,https://www.cybercoders.com/sr-business-intelligence-developer-job-424457
Business Intelligence,Director of Business Intelligence,"San Diego, CA",San Diego,CA,32.715738,-117.1610838,"If you are a hands-on Director of Business Intelligence with experience, please read on!The description below is just a sampling of this role.  If you are interested and you feel you fit let's talk and then we can go into much greater detail!We are a well established company and a leader in our niche industry looking for a Director of Business Intelligence to join our team.  You will report in to the senior leadership team working on cloud based business intelligence solutions that affect the retail industry.  We are looking for an individual who is a strong hybrid of heavy technical who can work with the business and take a vision, create the strategy and goals and follow through with the execution.  Working with the business, synthesizing the requirements, set the direction and execute on them!You will have a team of direct reports but you too must be hands-on steeped with Business Intelligence technical skills.  Your role will work closely with the business and create the BI strategy that works with their goals and then follow the BI program through to implementation and performance going forward.  You will lead the organization and direction for the cloud Enterprise Data Warehouse, Master Data Management and Data Quality.   You must be comfortable working hands-on with databases (SQL Server), ETL tools, and have experience with Windows and Linux shell scripting and an expert with SQL.  Our environment is SQL Server, Redshift, Tableau and PostgreSQL and we are expecting you to have experience with all of them.  You must also be very strong in AWS with some knowledge of Azure.  AWS Certified Solutions Architect highly preferred!This role is all about data with a tremendous amount of reporting, therefore experience in Analytics is another strong requirement.   You will use your analytics background to create metrics that analyze the performance of the business program. Due to the nature of our business there are many programs happening at the same time so you must be able to create strong business relationships, determine priorities and manage your team to meet timely deliverables.We are leading edge and you must stay on top of all new technologies in the Business Intelligence space and prototype and/or introduce new tools and ideas that keep our company innovative and ahead of the game!What You Need for this PositionRequirements:Bachelor's degree in Computer Science, Informatics, Analytics, Data Science or related field8 + years of professional information technology experience 8 + years of focusing on Business Intelligence solutions working closely with the business on vision, design and executionYou must have at least 2 full life cycle Data Warehouse implementationsStrong Experience with AWSStrong experience with Cloud Enterprise Data Warehouse solutions, building datawarehouses, ETL toolsWindows and Linux shell scriptingExperience with analyticsExperience managing a business intelligence team of at least 5+ membersExperience with Master Data Management and Data QualityExperience with Big DataHands on Experience with the following technologies are required:Amazon RedshiftSQL ServerTableauPostresSQLAWSPluses:AWS Certified Solutions Architect is a HUGE PLUS!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!Azure experienceExperience with PowerBIExperience with Business ObjectsData Science backgroundRetail industry experienceWhat's In It for YouWe offer a strong compensation package which includes base, bonus and benefits in an environment that strives to be on the leading edge!So, if you are a Director of Business Intelligence with experience, please apply today!Local Candidates ONLY please.                                    ",['Business IntelligenceData WarehousingAWSAzureAnalyticsAmazon RedShiftOracleBusiness ObjectsTableauPowerB'],Unknown,Unknown,Unknown,https://www.cybercoders.com/director-of-business-intelligence-job-425947
Business Intelligence,Director of Business Intelligence,"Irvine, CA",Irvine,CA,33.6845673,-117.82650490000002,"If you are a hands-on Director of Business Intelligence with experience, please read on!The description below is just a sampling of this role.  If you are interested and you feel you fit let's talk and then we can go into much greater detail!We are a well established company and a leader in our niche industry looking for a Director of Business Intelligence to join our team.  You will report in to the senior leadership team working on cloud based business intelligence solutions that affect the retail industry.  We are looking for an individual who is a strong hybrid of heavy technical who can work with the business and take a vision, create the strategy and goals and follow through with the execution.  Working with the business, synthesizing the requirements, set the direction and execute on them!You will have a team of direct reports but you too must be hands-on steeped with Business Intelligence technical skills.  Your role will work closely with the business and create the BI strategy that works with their goals and then follow the BI program through to implementation and performance going forward.  You will lead the organization and direction for the cloud Enterprise Data Warehouse, Master Data Management and Data Quality.   You must be comfortable working hands-on with databases (SQL Server), ETL tools, and have experience with Windows and Linux shell scripting and an expert with SQL.  Our environment is SQL Server, Redshift, Tableau and PostgreSQL and we are expecting you to have experience with all of them.  You must also be very strong in AWS with some knowledge of Azure.  AWS Certified Solutions Architect highly preferred!This role is all about data with a tremendous amount of reporting, therefore experience in Analytics is another strong requirement.   You will use your analytics background to create metrics that analyze the performance of the business program. Due to the nature of our business there are many programs happening at the same time so you must be able to create strong business relationships, determine priorities and manage your team to meet timely deliverables.We are leading edge and you must stay on top of all new technologies in the Business Intelligence space and prototype and/or introduce new tools and ideas that keep our company innovative and ahead of the game!What You Need for this PositionRequirements:Bachelor's degree in Computer Science, Informatics, Analytics, Data Science or related field8 + years of professional information technology experience 8 + years of focusing on Business Intelligence solutions working closely with the business on vision, design and executionYou must have at least 2 full life cycle Data Warehouse implementationsStrong Experience with AWSStrong experience with Cloud Enterprise Data Warehouse solutions, building datawarehouses, ETL toolsWindows and Linux shell scriptingExperience with analyticsExperience managing a business intelligence team of at least 5+ membersExperience with Master Data Management and Data QualityExperience with Big DataHands on Experience with the following technologies are required:Amazon RedshiftSQL ServerTableauPostresSQLAWSPluses:AWS Certified Solutions Architect is a HUGE PLUS!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!Azure experienceExperience with PowerBIExperience with Business ObjectsData Science backgroundRetail industry experienceWhat's In It for YouWe offer a strong compensation package which includes base, bonus and benefits in an environment that strives to be on the leading edge!So, if you are a Director of Business Intelligence with experience, please apply today!Local Candidates ONLY please.                                    ",['Business IntelligenceData WarehousingAWSAzureAnalyticsAmazon RedShiftOracleBusiness ObjectsTableauPowerB'],Unknown,Unknown,Unknown,https://www.cybercoders.com/director-of-business-intelligence-job-425952
Business Intelligence,Senior Claims Representative - BI experience!,"Kansas City, MO",Kansas City,MO,39.0997265,-94.5785667,"Do you have experience in Senior Claims? Does your background include Bodily Injury Claims? Do you have AT LEAST 5 years of experience? Then this is the position for you!We are definitely not new to the rodeo. We have been around since 1976 and based out of Kansas City! Although we are headquartered in Kansas City, we also provide services in Arkansas, Kansas, Missouri and Oklahoma. We are proud to say that we offer auto insurance that is fast, easy and reasonably priced. THIS WILL REQUIRE TO HAVE THE ABILITY TO MAINTAIN AN ADJUSTERS LICENSE IN REQUIRED STATESWhat You Will Be DoingResponsibilities include, but are not limited to:- Handle bodily injury claims- Handle associated property damage claims- Investigate accidents- Handle coverage, liability and damages- Provide detailed responses to agent (in a timely manner)- Negotiates, settles and/or resolves claimsWhat You Need for this PositionAt least 5 Years of experience and knowledge of:- Bodily Injury Claims- Associated Property Damage Claims that result from an automobile accident- Coverage- Liability- Damages- Working with agents, the insured and claimants- Negotiating- Settlements- Proficiency in the use of Word and ExcelNice to Have Skills:- Strong verbal and written communication skills- Good time management skills- Ability to work in a fast paced environment- Ability to deliver excellent customer serviceWhat's In It for You- Medical- Dental- Vision- Life Insurance- 401K- Training and career development- Opportunities for advancementSo, if you are a Senior Claims Representative - BI experience! with experience, please apply today!                                    ",['InsuranceClaimsBodily InjuryLitigationCoveragedamagesEstimate'],Unknown,Unknown,Unknown,https://www.cybercoders.com/senior-claims-representative-bi-experience-job-421945
Business Intelligence,"BI Developer  - Azure SQL, PowerBI","Irvine, CA",Irvine,CA,33.6845673,-117.82650490000002,"We are a Healthcare Solutions company in the Orange County area that is  looking for a BI Developer with at least 5 years of experience to join our team and become critical to expanding our programs success.If you are a BI Developer with experience, please read on!What You Need for this PositionRequirements:- Bachelor's degree in Computer Science or related field- Proficient with Azure SQL database and PowerBI- 5+ years experience in BI reporting - 5+ years working in a data warehouse environment- 2+ years building reports in a MS SQL Server environment which includes SSRS- Experience working with the business community to determine requirements, business analysis- Ability to run projects from end to end- Experience with User Acceptance TestingWhat's In It for YouWe offer a solid compensation package in an environment of leaders and the ability to grow.Local Candidates ONLY pleaseSo, if you are a BI Developer with experience, please apply today!                                    ",['Azure SQLPowerBIWarehouse desig'],100000,Unknown,50000.0,https://www.cybercoders.com/bi-developer-azure-sql-powerbi-job-426287
Business Intelligence,"SQL Development Specialist - Data Extraction, Power BI","Daphne, AL",Daphne,AL,30.6035255,-87.9036047,"THIS POSITION PROVIDES RELOCATION TO DAPHNE, AL IN THE BEAUTIFUL SOUTHERN GULF SHORESWe are headquartered in Daphne, Alabama where we deliver award-winning service by strategically building the strongest team and developing best-in-class processes.  Currently, we're looking for a SQL Server Specialist with the following in their arsenal...What You Will Be DoingOur ideal candidate will be working across all business units, sites and partners, to develop and implement SQL data extractions, normalization and presentation for business analytical use. They will execute assignments relating to varied ERP data extraction and end-user reporting platforms.What You Need for this PositionCore Skill Requirements:3-4 years of knowledge and experience with SSIS and SSRS required.3-4 years of working knowledge of SQL Server and relational database normalization.3-4 years of experience working with data warehouses/data marts a plus.7-8 years of overall work experience within all aspects of the software development life cycle (SDLC) but specifically in areas of requirements definition, scripting, integration, data transformation, and presentation.5+ years of reporting experience, analytics experience, or a combination of both using Microsoft BI Tool sets (e.g. Power Pivot, Excel etc.). emphasis on Power BI5+ years of SQL Server Integration Services (SSIS) experience and SQL Server Reporting Services (SSRS) experience.Minimum qualificationsB.S. in Information Systems, Computer Science or equivalent experienceMinimum experienceKnowledge and experience with extract/translate/load (ETL) middleware solutions such as InformaticaSolid experience in MS Office 365 productivity suite products (Excel, SharePoint, Powerpoint)Knowledge and experience with Oracle DB and OBIEE, Hyperion reporting toolsBS in Information Systems, Computer Science or equivalent experienceWhat's In It for YouRelocation expenses provided Competitive SalaryFull Benefits - Medical Dental, VisionMatching 401kPTOSo, if you are a Sr. SQL Development Specialist with the right experience, please apply today!                                    ",['SQL ServerSSIS/SSRSData ScrapingMicrosoft Office 365Power BISharePointOracle EBSETL ProcessOBIEEHyperio'],70000,85000,77500.0,https://www.cybercoders.com/sql-development-specialist-data-extraction-power-bi-job-424716
Business Intelligence,Junior Python Developer,"Chicago, IL",Chicago,IL,41.8781136,-87.62979820000001,"If you are a Junior Python Developer with Python and SQL server experience, please read on!We are a fast-paced, startup, financial services firm looking to expand our data science team to support our growing database and we need you to make it happen!Top Reasons to Work with Us- Competitive compensation AND comprehensive benefits package- Recently renovated office- Work hard, play hard mentality - Interact with a dynamic and past-paced team of professionals- High Career MobilityWhat You Will Be DoingWe are in the process of restructuring and recreating our database to increase efficiency and deliver data-driven decisions to our business team.  You will be working closely alongside our founders and executive team as a critical member of the organization.What You Need for this PositionMust Have:- A bachelor's degree or higher in a technical discipline (Computer Science preferred)- At least 1 year of experience (College degree and a few solid internships will suffice):1. Python2. SQL Server3. LinuxNice to Have:- BI Tools (Tableau, Domo, Power BI)- Financial Services industry experienceWhat's In It for You- Competitive base salary- Bonus potential- Regular performance/salary reviews- Healthcare benefits- PTO- Work/life balance- Casual company cultureSo, if you are a Junior Python Developer with Python and SQL server, please apply today!                                    ",['SQL ServerPythonBusiness Intelligenc'],Unknown,Unknown,Unknown,https://www.cybercoders.com/junior-python-developer-job-414357
