Search,Title,Location,Cities,States,Latitude,Longitude,Description,Skills,Min_Salary,Max_Salary,Mean_Salary,URL
Data Analyst,Data Analyst,"San Jose, CA",San Jose,CA,37.338208200000004,-121.88632859999998,"If you are a Data Analyst with experience, please read on!What You Will Be Doing• Audit and analyze data produced by our various products, applications and End Clients and other external sources.• Publish clear and accurate data visualizations and reports per user requests.• assist in design and implementation of a second-generation enterprise data warehouse based on user requirementsWhat You Need for this Position• Bachelor’s degree in Computer Science strongly preferred.• Exhibit our core cultural values: clear communication, positive energy, continuous learning, and efficient execution.• Experience in data analysis• You have at least 4 years of experience in data analysis• High proficiency with SQLMust travel occasionally to meet with external clients.What's In It for YouCompetitive salaryStock OptionsHealth, dental, and vision insurance401k benefitsDiverse, passionate, and skilled co-workersCasual working environmentWeekly company lunchesQuarterly company outingsFlexible PTODiscounted Pet InsuranceDisability and Life InsuranceCommuter Benefits, Retirement Plans, and Shopping discountsSo, if you are a Data Analyst with experience, please apply today!                                    ",['ExcelSQLQueriesNoSQLBig DataHadoo'],Unknown,Unknown,Unknown,https://www.cybercoders.com/data-analyst-job-416192
Data Analyst,Data Analyst,"Jersey City, NJ",Jersey City,NJ,40.72815749999999,-74.0776417,"If you are a Data Analyst with experience, please read on!What You Will Be DoingAs a Data Analyst, you will analyze hyper-local data sources to develop accurate interpretations of audiences and behaviors, and develop data structures to facilitate the analysis.  A mixture of analytical approaches are required, including raw data mining, data visualization, application of rules and heuristics and supervised / unsupervised machine learning techniques. We deal with extremely large data sets requiring the design and development of highly memory- and cpu-efficient methods.  We use a mixture of commercial, open source and home-grown solutions. Responsibilities:• Raw data analysis – assessing quality, cleansing, structuring for downstream processing• Design and prototype of accurate and scalable prediction algorithms• Functional and technical documentation of designs• Collaboration with engineering team to bring analytical prototypes to production• Communication of results to partners and customersWhat You Need for this Position• Creative and pragmatic quantitatively minded individual with a passion for understanding location and human behavior• Problem solving – ability to identify issues quickly and rapidly determine root cause and effective resolution approach• Data management – familiarity with Hadoop ecosystem and SQL• Proficiency with Python, Java or Scala• Software engineering skills - fundamental coding skills enabling the building of analytical pipelines and the development of prototypes for core company products and systems• Data analysis – solid data analysis skills applied to business problems, including slicing & dicing large datasets, and application of analytical techniques such as statistical methods and machine learning• Communication - excellent verbal and written communication skills, ability to communicate technical topics to non-technical individuals• Execution - ability to manage own time and work effectively with others on projectsEducation/Experience:• Bachelors degree in Statistics/Applied Math/Computer Science or related field required• 2+ years relevant job experienceSo, if you are a Data Analyst with experience, please apply today!                                    ",['Scala /Python /JavaAlgorithmsHadoopSQLData Analysi'],Unknown,Unknown,Unknown,https://www.cybercoders.com/data-analyst-job-423586
Data Analyst,Data Analyst,"Kansas City, MO",Kansas City,MO,39.0997265,-94.5785667,"If you are a Data Analyst with experience, please read on!Top Reasons to Work with Us- Medical, Dental and Vision - Very competitive base salary!- Benefit packages!- Great Work Life Balance- Much more!What You Will Be DoingYou will be working side by side with the clients and the developing teams that will provide technical solutions, while capturing and storing data so that it will be used effectively. You will also analyze business requirements and develop high-level and detailed data assessments.What You Need for this PositionAt Least 1 Year of experience and knowledge of:- Software Development- SQL- Data Analysis- Excel- Data Analyst- Python- Verbal and Written- Financial Analysis- Analytical Reports- PlanningSo, if you are a Data Analyst with experience, please apply today!                                    ",['Software DevelopmentSQLData AnalysisExcelData AnalystPythonVerbal and WrittenFinancial Analysisanalytical reportsPlannin'],Unknown,Unknown,Unknown,https://www.cybercoders.com/data-analyst-job-426818
Data Analyst,Senior Data Analyst,"Cambridge, MA",Cambridge,MA,42.373615799999996,-71.10973349999998,"If you are a Senior Data Analyst with eCommerce or retail industry experience, please read on!What You Will Be DoingDo you have an obsession with numbers and the desire to tell stories with data-driven analysis?  - You will perform intelligent analyses backed by quantitative data that guides our strategic, tactical and operational business decisions.  - You will proactively and upon request work with identifying trends that suggest new marketing & business opportunities and follow through with the recommendation of key strategies to leverage opportunities.  - You will serve as an evangelist for the power of data analytics and present findings and recommendations to key stakeholders.  - You will participate in the development of organizational benchmarks of key consumer metrics and performance indicators.What You Need for this Position- Bachelors degree in Statistics, Mathematics, Business, Economics, Finance, Computer Science, related field - 3+ years of experience as a management consultant or front-end business analyst supporting marketing, finance and customer functions, performing reviews, analysis and making recommendations on current and future marketing initiatives.- Must have on the job real world experience developing business models.- Must be able to write SQL queries, comprehend requirements and extract data to support analysis required- Must have digital eCommerce experience (retail preferred but not required)- Working knowledge or exposure to Google Analytics, Tableau and SalesForce.com would be a strong assetWhat's In It for YouFor your hard work you will be rewarded with a generous base salary, exceptional benefits and perks including 3 weeks of vacation in your first year and 4 weeks in your second year of employment.  If you love to travel, this is a great place to be as international travel is a huge perk!So, if you are a Senior Data Analyst with eCommerce or retail industry experience, please apply today!                                    ",['Data AnalysisSQLE-CommerceRetail analyticsGoogle AnalyticsTableauSalesForc'],80000,110000,95000.0,https://www.cybercoders.com/senior-data-analyst-job-404767
Data Analyst,Marketing Data Analyst,"Cambridge, MA",Cambridge,MA,42.373615799999996,-71.10973349999998,"If you are a Database Analyst, Data Analyst or Marketing Analyst with experience writing complex SQL Queries and analyzing marketing data and you want to work for a fast paced, international company, please read on!What You Will Be Doing- You will be building and maintaining complex marketing analytics for customer journeys - You will be using SQL Server to build complex SQL queries, troubleshoot data problems and produce dashboards - Identify, track and act on key KPI's relevant to the business- Work closely with the marketing department to develop customer targeting and segmentation strategiesWhat You Need for this Position- 3+ years of experience writing complex SQL Queries- Solid understand of marketing concepts (Customer Journeys, lead forms, conversions, attribution models, Influencers)- Previous experience with Google Analytics, Tableau and Salesforce are nice to have- Previous experience in an eCommerce environment is also a big plusWhat's In It for You- You will work in a pivotal role within the small, but growing marketing team as a data analyst working on innovative marketing campaigns- Apply your technical skills to a marketing role- Highly visible role with tremendous opportunity for growth and advancement- Fun, exciting and positive working environment with a great social culture- Great salary - 70-90K depending on your experience, amazing perks and benefits including 3 weeks of vacation and paid international travel!So, if you are a Database Analyst, Data Analyst or Marketing Analyst with experience writing complex SQL Queries and analyzing marketing data and you want to work for a fast paced, international company, please apply today!                                    ",['SQL QueriesMarketing AnalysisE-Commerc'],70000,90000,80000.0,https://www.cybercoders.com/marketing-data-analyst-job-409968
Data Analyst,Senior Data Analyst,"San Francisco, CA",San Francisco,CA,37.7749295,-122.4194155,"If you are a Data Analyst with strong SQL skills and knowledge of financial systems, please read on!Top Reasons to Work with UsBased out of San Francisco, we are a channel for streaming media downloads.What You Will Be DoingAs an integral member of our Corporate Finance team, this position is responsible for a full range of duties, including but not limited to:- Responsible for the architecture, security, transformation, import/export, and presentation of internal and external reporting data (sales, product, user, and content consumption)- Work with Finance and Content teams on business intelligence issues including ongoing revenue and user data reporting, financial settlements and royalties calculations- Manage and maintain our organization's financial applications and reporting systems- Provide company-wide end user support related to our organization's financial and reporting systems- Facilitate ad hoc reporting and data mining/manipulation for all financial system users- Maintain our organization's interfaces between financial systems and other related systems- Troubleshoot and resolve problems and issues related to financial software customizations and integrations- Analyze business needs and propose technology and/or business process optimization solutions to meet these requirementsWhat You Need for this PositionMandatory Requirements:- BA or BS in Technical/Financial field or relevant expereince- Experience with subscription apps- Microsoft Development Stack (.NET, SQL, Azure)- Experience with royalty calculation and payout models in digital media- Strong MSSQL experience in writing Procedures, Functions, Triggers, and Reporting- Strong .NET application development experience relative to financial technologies- Familiarity and experience with ETL processes and software- Be comfortable with trouble-shooting (know how to pick apart a system and understand how it works)- Be familiar with data fields, table structures, and how to import and export dataREALLY Nice to Have:- Experience with financial applications (General Ledger systems, Reporting Systems, Budgeting Systems, Payroll/HR, etc.)- Background in financial accounting and reportingWhat's In It for YouCompetitive Salary and Benefits package.So, if you are a Financial Systems Analyst with experience, please apply today!                                    ",['ReportingArchitectureSecurit'],80000,110000,95000.0,https://www.cybercoders.com/senior-data-analyst-job-417596
Data Analyst,Lead Data Analyst,"Atlanta, GA",Atlanta,GA,33.7489954,-84.3879824,"If you are a Lead Data Analyst with Python, Tableau, and SQL experience, please read on!We are a leading real estate services company with multiple locations across the US looking to expand our business intelligence/marketing analytics division to support our massive systems of users and we need you to make our 2018 goals happen!Top Reasons to Work with Us- Competitive compensation AND comprehensive benefits package- Recently renovated office- Work hard, play hard mentality - Interact with a dynamic and past-paced team of professionals- High Career MobilityWhat You Need for this PositionMust Have:- A bachelor's degree or higher in a technical discipline - 5+ years experience in statistical analysis using Python or R- data visualization with Tableau- strong SQL background- Previous experience with consumer-facing digital productsNice to Have:- Automated Analytics- Marketing analytics tools (Google/Adobe Analytics, etc.)What's In It for You- Competitive base salary- Bonus potential- Regular performance/salary reviews- Healthcare benefits- PTO- Work/life balance- Casual company cultureSo, if you are a Lead Data Analyst with Python, Tableau, and SQL experience, please apply today!                                    ",['PythonSQLTablea'],Unknown,Unknown,Unknown,https://www.cybercoders.com/lead-data-analyst-job-424002
Data Analyst,Entry-Level Marketing Data Analyst,"Princeton, NJ",Princeton,NJ,40.3572976,-74.66722259999999,"If you are a Marketing Analyst, Database Analyst, or Data Analyst with experience, please read on!Located in beautiful and historical Princeton, NJ, we are a well-established institution that assists with predicting customers' behaviors. If you're interested in working in a fast-paced, innovative company, this job is for you.What You Will Be Doing- Working with a large consumer data set, extracting and analyzing information- Creating reports to present to clients- Searching our large database to create customer prospecting models- Statistical modeling and regression analysisWhat You Need for this Position- Bachelor's Degree in related field (Statistics, Marketing Analytics, etc.)- 1+ year experience as a statistical analyst or marketing analyst- Python- SQL- C/C++What's In It for You- We provide excellent benefits and a competitive salary ($70k-$85k).- Easy commute - right near public transit- Long-term growth opportunitiesSo, if you are a Marketing Data Analyst with experience, please apply today!                                    ",['PythonSQLC/C++Marketing Analytic'],70000,85000,77500.0,https://www.cybercoders.com/entry-level-marketing-data-analyst-job-421971
Data Analyst,"Data Analyst  (SQL, Excel, NoSQL)","San Jose, CA",San Jose,CA,37.338208200000004,-121.88632859999998,"If you are a Data Analyst with experience, please read on!What You Will Be Doing• Audit and analyze data produced by our various products, applications and End Clients and other external sources.• Publish clear and accurate data visualizations and reports per user requests.• assist in design and implementation of a second-generation enterprise data warehouse based on user requirementsWhat You Need for this Position• Bachelor’s degree in Computer Science strongly preferred.• Exhibit our core cultural values: clear communication, positive energy, continuous learning, and efficient execution.• Experience in data analysis• You have at least 4 years of experience in data analysis• High proficiency with SQLMust travel occasionally to meet with external clients.What's In It for YouCompetitive salaryStock OptionsHealth, dental, and vision insurance401k benefitsDiverse, passionate, and skilled co-workersCasual working environmentWeekly company lunchesQuarterly company outingsFlexible PTODiscounted Pet InsuranceDisability and Life InsuranceCommuter Benefits, Retirement Plans, and Shopping discountsSo, if you are a Data Analyst with experience, please apply today!                                    ",['ExcelNoSQLSQLQueriesBig DataHadoo'],Unknown,Unknown,Unknown,https://www.cybercoders.com/data-analyst-sql-excel-nosql-job-426219
Data Analyst,"Junior Data Analyst - Math, Data, Excel","Mount Pleasant, SC",Mount Pleasant,SC,32.8323225,-79.82842579999998,"Job Title:  Junior Data AnalystJob Location:  Mount Pleasant, SCSalary:  $40-60kBased in Mount Pleasant, SC we are a well established and highly successful business offering location analytics services to a wide range of large national clients.  We are seeking a client facing Data Analyst who will work on bleeding edge products. Please note: sorry but we are only considering candidates who are local to the area, or already in the process of moving to the area. Top Reasons to Work with Us1. We are in growth mode!  Join a growing team with lots of opportunity.2. Your job will never be dull!  You'll work on bleeding edge analytics products for a wide range of clients in different industries. 3. Excellent benefits including 100% paid medical for the employee, LTD, STD, Life insurance, an Uber account for your use in your personal time and more!What You Will Be Doing- Critically evaluate information gathered from multiple sources, reconcile conflicts, decompose high-level information into details, abstract from low-level information to a general understanding, and distinguish user requests from underlying true needs.- Work with multiple data sets to evaluate and verify the validity of the database and be able to produce summary data validation reports- Work with data by Geocoding and provide support to the Modeling group in building predictive models- Proactively communicate and collaborate with internal and external users to analyze information needs and functional requirements and deliver that information.- Be comfortable working with computer interfaces to upload basic data to our proprietary online platform - Trailblazer.- Successfully engage in multiple initiatives simultaneously.- Strong analytical and product management skills- Comfortable working with large datasetsWhat You Need for this PositionProficiency with:- Data Analytics - able to read/interpret data- Math (Statistics nice to have)- Ability to be client facing (prior experience a bonus)- ExcelSo, if you are a Junior Data Analyst please apply now!                                    ",['Ability to be client facingMathematicsCan interpret dataExce'],40000,60000,50000.0,https://www.cybercoders.com/junior-data-analyst-math-data-excel-job-425290
