Search,Title,Location,Cities,States,Latitude,Longitude,Description,Skills,Min_Salary,Max_Salary,Mean_Salary,URL
Product Manager,Product Manager,"San Jose, CA",San Jose,CA,37.338208200000004,-121.88632859999998,"If you are a Product Manager with strong marketing skills and a professional background with Optical Design, ASIC design or related fields, please read on!Top Reasons to Work with Us- Join a new product marketing team and product definition group- Engage with product teams internally and client face with customers to further our brand and product recognition - We offer great benefits for you and your family, pay solid salaries, and offer bonus potentialWhat You Will Be Doing- Prepare product and commercial proposals in response to customer RFQs.- Define and prepare marketing requirements documents (MRDs).- Prepare marketing collateral (including presentations and whitepapers) explaining product features. Establish clear differentiation with respect to market alternatives.- Engagements with customer partners to understand end-market needs.-Facilitate detailed technical discussions with customer system leads involving  team members.- Present, and refine product positioning for high market impact with emphasis on the key attributes favored by target customers.- Work with the sales team for early customer traction and secure lead customers. Remain engaged in “alpha” customer sales activities through first customer sampling.- Perform market research to identify and quantify opportunities.- Travel to client site up to 25% of the timeWhat You Need for this Position- Min. 5+ years of related experience in engineering or marketing domains- Experience with defining and preparing MRDs- Strong technical expertise within optics or ASIC for communication domain- Able to work and communicate with multidisciplinary teams- Excellent understanding of managing projects in an agile environmentWhat's In It for You- Opportunity to join a company early on - Work with a cool technology in an aggressive growth planSo, if you are a Product Manager with the ASIC or Optical experience we are looking for, please apply today!                                    ","['Optics Design', 'ASIC Design', 'Experience writing', 'MRDs and PRDs']",95000,140000,117500.0,https://www.cybercoders.com/product-manager-job-413252
Product Manager,Product Manager,"San Jose, CA",San Jose,CA,37.338208200000004,-121.88632859999998,"If you are a Product Manager with strong marketing skills and a professional background with Optical sensors or imaging,  please read on!Top Reasons to Work with Us- Join a new product marketing team and product definition group- Engage with product teams internally and client face with customers to further our brand and product recognition - We offer great benefits for you and your family, pay solid salaries, and offer bonus potentialWhat You Will Be Doing- Prepare product and commercial proposals in response to customer RFQs.- Define and prepare marketing requirements documents (MRDs).- Prepare marketing collateral (including presentations and whitepapers) explaining product features. Establish clear differentiation with respect to market alternatives.- Engagements with customer partners to understand end-market needs.-Facilitate detailed technical discussions with customer system leads involving  team members.- Present, and refine product positioning for high market impact with emphasis on the key attributes favored by target customers.- Work with the sales team for early customer traction and secure lead customers. Remain engaged in “alpha” customer sales activities through first customer sampling.- Perform market research to identify and quantify opportunities.- Travel to client site up to 25% of the timeWhat You Need for this Position- Min. 5+ years of related experience in engineering or marketing domains- Experience with defining and preparing MRDs- Strong technical expertise within Optical Sensors or Imaging- Able to work and communicate with multidisciplinary teams- Excellent understanding of managing projects in an agile environmentWhat's In It for You- Opportunity to join a company early on - Work with a cool technology in an aggressive growth planSo, if you are a Product Manager with the ASIC or Optical experience we are looking for, please apply today!                                    ","['Experience writing', 'MRDs and PRDs', 'optical sensors', 'Optical Imaging']",95000,140000,117500.0,https://www.cybercoders.com/product-manager-job-413267
Product Manager,Product Manager,"Grapevine, TX",Grapevine,TX,32.9342919,-97.07806540000001,"If you are a Product Manager with JIRA experience, please read on!Top Reasons to Work with UsBased in Dallas Fort Worth, TX , we are an cutting edge software company that is seeking for an Product Manager. Our team is on a mission to architect the future, we've been saving lives for over 2 decades. We are offering excellent compensation packages including salary that ranges between $60K-$80K. We offer full health benefits, 401K Matching, and 2 weeks vacation. On top of that, our team is amazing, we push each other to be our best, and love having our team mates in the office, but we are flexible with schedules.We're seeking for a Product Manager with JIRA experience that is a self starter, that loves a challenge. Our team mates are never bored because we are constantly dealing with new challenges.What You Will Be Doing-Use JIRA to manage products -Occasionally perform Help Desk functions.- Help Infrastructure team initiate projects and build user stories with timelines-Optimize the discovery, design, and execution processes for IT projects.-Assist with providing application support and helping other teams with support related issues.-Assist with documenting security policies and communicating to end users-Knowledge of Microsoft Server, Office 365, and SharePoint.-Knowledge of IT and Security best practicesWhat You Need for this PositionAt Least 3 Years of experience and knowledge of:- Product Management- Product Manager- JIRA- Windows Server- SQL Database- Security Best Practices- Storage- Help Desk- Tech SavvyNice to Haves:-Excellent verbal and written communications-IT Best PracticesWhat's In It for You-Salary $60K-$80K-Bonus Opportunity-Full Health Benefits- Medical/Dental/Vision-10 days vacation accrued 1st year-3 Days PTO accrued 6 months-401K MatchApplicants must be currently authorized to work in the United States on a full-time basis. Please send your resume to Alice.Dam@cybercoders.comSo, if you are a Product Manager with JIRA experience, please apply today!                                    ","['Product Management', 'Product Manager', 'JIRA', 'Windows Server', 'SQL', 'Security Best Practices', 'Storage', 'platform', 'Help Desk', 'Tech Savvy']",60000,80000,70000.0,https://www.cybercoders.com/product-manager-job-416008
Product Manager,Product Manager,"Irvine, CA",Irvine,CA,33.6845673,-117.82650490000002,"Located in beautiful Irvine CA, with easy access to the beach, airport, and Costco! We a leading provider in aero and defense engineering design services and specialized computer products offering an exciting opportunity in technology product management. This position provides an opportunity for growth in a company that offers rich benefits and excellent work/life balance. We are looking for an innovative and driven Product Manager! If this sounds like you, please read on!What You Will Be Doing- Evaluate circuit card and electronic unit design, troubleshoot performance anomalies, and diagnose test failures- Develop mitigation plans and identify impacts to subsystems and spacecraft performance- Provide analysis support for electrical power generation, storage, regulation, distribution systems, along with environmental, acoustic, shock, mass properties, deployment, reliability, and mission assurance, to verify the satellite design will satisfy the system requirementsWhat You Need for this PositionMore Than 5 Years of experience and knowledge of:- Embedded Software Development- LabVIEW, SolidWorks, ANSYS HFSS, MatLabWhat's In It for You- $75K-100K- Comprehensive benefits- Generous PTOSo, if you are a Product Manager with experience, please apply today!                                    ","['LabView', 'Embedded Software Development', 'Altium Designer', 'SolidWorks']",75000,95000,85000.0,https://www.cybercoders.com/product-manager-job-416508
Product Manager,Product Manager,"Los Angeles, CA",Los Angeles,CA,34.0522342,-118.24368490000002,"THIS POSITION IS LOCATED IN DALLAS, TX - RELOCATION WILL BE COVERED We are a leader in the broadband and telecommunications industry that has recently expanded to the US.  Our organization designs, manufactures and ships over 20 million terminals per year and has been profitable since it's inception. We are seeking a talented Product Manager with an engineering or technical background that can be applied to product development.What You Will Be Doing- Defining product specifications based on customer requirements- Maintaining a close relationship with technology providers - Assessing product development efforts and facilitating sales through pre-sales activities- Handling RFP answers specific to each product lineWhat You Need for this Position- Experience in an engineering or technical role with a product development focus - Experience with hardware and software solutions for telecom/broadband industry - Knowledge of internet/telecom/networking technologies (IP, VOIP, Ethernet, DOCSIS, DSL and/or Wifi, etc.)- Strong experience translating customer requirements into technical solutionsWhat's In It for YouWe offer a competitive compensation and benefits package, excellent insurance options and a friendly work environment that promotes innovation.So, if you are a Product Manager with at least 3 years' experience, please apply today!                                    ","['Product Development', 'Telecom/Broadband Industry', 'Internet Technologies', 'IP/VOIP']",90000,120000,105000.0,https://www.cybercoders.com/product-manager-job-417701
Product Manager,Product Manager,"Atlanta, GA",Atlanta,GA,33.7489954,-84.3879824,"THIS POSITION IS LOCATED IN DALLAS, TX - RELOCATION WILL BE COVERED We are a leader in the broadband and telecommunications industry that has recently expanded to the US.  Our organization designs, manufactures and ships over 20 million terminals per year and has been profitable since it's inception. We are seeking a talented Product Manager with an engineering or technical background that can be applied to product development.What You Will Be Doing- Defining product specifications based on customer requirements- Maintaining a close relationship with technology providers - Assessing product development efforts and facilitating sales through pre-sales activities- Handling RFP answers specific to each product lineWhat You Need for this Position- Experience in an engineering or technical role with a product development focus - Experience with hardware and software solutions for telecom/broadband industry - Knowledge of internet/telecom/networking technologies (IP, VOIP, Ethernet, DOCSIS, DSL and/or Wifi, etc.)- Strong experience translating customer requirements into technical solutionsWhat's In It for YouWe offer a competitive compensation and benefits package, excellent insurance options and a friendly work environment that promotes innovation.So, if you are a Product Manager with at least 3 years' experience, please apply today!                                    ","['Product Development', 'Telecom/Broadband Industry', 'Internet Technologies', 'IP/VOIP']",90000,120000,105000.0,https://www.cybercoders.com/product-manager-job-417702
Product Manager,Product Manager,"Mooresville, NC",Mooresville,NC,35.5848596,-80.81007240000001,"Based in the greater Charlotte, NC area we are a leading consumer products company with global distribution among some of the world's top company's like Amazon and Target.  Currently, we are in need of talented Product Managers of all levels with experience in product development of consumer products, power tools or outdoor power equipment.  This person will join our Product development team to help us develop and commercialize battery operated outdoor equipment.Top Reasons to Work with UsGlobal company!See the world!Lots of career opportunity!What You Will Be DoingManaging the entire product line life cycle.Work with Sales, R&D, and Manufacturing to deliver on time and on cost for new programs.Support sales management by providing training on products, feature/benefit opportunities and competitive comparisons.Monitor Product P&L and ROI. Monitor results of sales, and quality. Drive corrective actions to improve results.Analysis & Market ResearchDevelop hands-on, in-depth knowledge of competitive products and maintain technical analysis of competitive strengths and weaknesses.Provide in-depth analysis of market and industry.Provide business cases for new programs.Strong contact and understanding of end users/retailers.TeamworkWorking closely with Sales, R&D, Industrial Design, Manufacturing, Supply Chain, Sales, Finance, and Marketing to deliver on time and on cost for new programs.Cultivate a teamwork environment through all department members that allows for expressive ideation and the supportiveness to enable each team to succeed.Collaborate with marketing managers & sales to deliver category/product launch packages.What You Need for this Position-Minimum three years’ experience in Product Management / Marketing required-1+ year experience in product development of consumer products, power tools or outdoor power equipment preferred.-Bachelor’s degree required (Business Administration or Marketing preferred).-Proven project management skills. Results oriented.-Intermediate experience using Microsoft PowerPoint and Word.-Excellent written and oral communication skills including presentation experience.What's In It for You- Competitive annual base salary-Health, dental, vision-401k company match plan-Paid sick/vacation/personal time-RELOCATION ASSISTANCE!!So, if you are a Product Manager with experience, please apply today or send me your resume to Rachel.Hilton@CyberCoders.com!                                    ","['Product Management', 'Electro-Mechanical Product Lines', 'Battery Powered Devices', 'Product Manager', 'Product Lifecycle', 'Consumer Products', 'Outdoor Power Equipment', 'ROI', 'Market Analysis', 'Project Management']",50000,100000,75000.0,https://www.cybercoders.com/product-manager-job-419721
Product Manager,Product Manager,"Los Angeles, CA",Los Angeles,CA,34.0522342,-118.24368490000002,"If you are you a Product Manager and have experience delivering consumer facing, web based products to consumers in startup environments, KEEP READING!What You Need for this Position- 7+ years of Product Management experience on highly technical teams with some exposure to mobile- Significant experience with lean and agile product development methods- Significant experience working with cross-functional teams, both internal and external- Significant experience building and presenting product goals, initiatives, and business cases for prioritization and development- Experience meeting deadlines and managing a heavy workload, providing visibility into the workflow and portfolio- Experience creating user stories and wireframes- Bonus points if you have a deep understanding of cloud technologies and leveraging big data- Extra bonus points if you have experience with mobile commerce and consumer interface on peak demands (e.g. ride sharing on New Years Eve)What You Will Be Doing- Provide product support on multiple product lines- Work with Agile/SCRUM and be the product lead - Contribute to the overall product vision and roadmap for the product lines- Gather requirements, input and feedback from all teams including sales,marketing, content, support and users- Train the stakeholders to use the products and write documentation and tutorials to ensure instructions can be followed- Work with the data team to gather metrics and track and analyze metrics on the products consistently- Drive execution of new feature concepts including creation of business cases,requirements, users stories and validations as necessary- Identify areas for improvement within the products, and manage/prioritize theproduct backlog- Work with development and QA teams to ensure that requirements are met- Track timelines and status of tasks as necessary- Suggest processes that may increase efficiency and quality- Work with external third parties to integrate their applications into our API- Analyze and research broader market trends, technology trends and competitorsWhat's In It for You- Competitive salaries - Excellent health, dental and vision insurance - Equity- Lots of growthSo, if you are you a Product Manager and have experience delivering web based products to consumers in a startup environment, APPLY TODAY!!","['Consumer-Facing Product Experience', 'Startup Experience', 'Media + Entertainment Industry Experience']",100000,175000,137500.0,https://www.cybercoders.com/product-manager-job-421921
Product Manager,Product Manager,"Irvine, CA",Irvine,CA,33.6845673,-117.82650490000002,"Tomorrow, our company, will innovate landscape lighting products and systems that will not only make your exterior environment more beautiful, safe and secure but will offer less maintenance, longer life, higher performance and more control features to make our lives enjoyable with less stress. Bring your landscape lighting needs into US! If you are a Product Manager with lighting and engineering experience, please read on!Top Reasons to Work with UsStable landscape lighting co. in business almost 30 years!Cutting edge technologyGreat team s to work with!What You Will Be DoingCollaborate with sales, marketing and executive management to develop product linesManage product line, from concept to launch, on all new products and product upgradesResearch and analyze market conditions, competitors and trends in the lighting industryConduct product presentationsSupport manufacturing teamCoordinate inventory levels with inventory management teamSupport Sales and Marketing with product knowledge and technical expertiseSupport purchasing department with sourcing new components and pricing of raw materialsLead contact with suppliers both domestic and overseasOversee product/production assistantWhat You Need for this PositionBS Engineering and at least 3 Years of experience and knowledge of- CAD- Lighting- Manufacturing Processes- Develop & manage product lines- Full Product LifeCycle ManagementSo, if you are a Product Manager with lighting experience, please apply today!                                    ","['CAD', 'Lighting', 'Manufacturing Processes', 'Develop & manage product lines', 'Full Product LifeCycle Management']",60000,75000,67500.0,https://www.cybercoders.com/product-manager-job-423676
Product Manager,Product Manager,"Irving, TX",Irving,TX,32.814017699999994,-96.9488945,"If you are a Product Manager with JIRA experience, please read on!Top Reasons to Work with UsBased in Dallas Fort Worth, TX , we are an cutting edge software company that is seeking for an Product Manager. Our team is on a mission to architect the future, we've been saving lives for over 2 decades. We are offering excellent compensation packages including salary that ranges between $60K-$80K. We offer full health benefits, 401K Matching, and 2 weeks vacation. On top of that, our team is amazing, we push each other to be our best, and love having our team mates in the office, but we are flexible with schedules.We're seeking for a Product Manager with JIRA experience that is a self starter, that loves a challenge. Our team mates are never bored because we are constantly dealing with new challenges.What You Will Be Doing-Use JIRA to manage products -Occasionally perform Help Desk functions.- Help Infrastructure team initiate projects and build user stories with timelines-Optimize the discovery, design, and execution processes for IT projects.-Assist with providing application support and helping other teams with support related issues.-Assist with documenting security policies and communicating to end users-Knowledge of Microsoft Server, Office 365, and SharePoint.-Knowledge of IT and Security best practicesWhat You Need for this PositionAt Least 3 Years of experience and knowledge of:- Product Management- JIRA- IT- Windows Server- SQL Databases- Security Best Practices- Storage- Help Desk- Tech SavvyNice to Haves:-Excellent verbal and written communications-IT Best PracticesWhat's In It for You-Salary $65K-80K-Bonus Opportunity- Annual Bonus-Full Health Benefits- Medical/Dental/Vision-10 days vacation accrued 1st year-3 Days PTO accrued 6 months-401K MatchApplicants must be currently authorized to work in the United States on a full-time basis. Please send your resume to Alice.Dam@cybercoders.comSo, if you are a Product Manager with experience, please apply today!                                    ","['Product Management', 'JIRA', 'IT', 'Windows Server', 'SQL Databases', 'Security Best Practices', 'Storage', 'Help Desk', 'Tech Savvy']",65000,80000,72500.0,https://www.cybercoders.com/product-manager-job-423990
