Location,Frequency
"San Francisco, CA",39
"New York City, NY",19
"San Jose, CA",17
"San Mateo, CA",16
"Seattle, WA",12
"Los Angeles, CA",12
"Irvine, CA",10
"Palo Alto, CA",8
"Chicago, IL",8
"Mountain View, CA",7
"Reston, VA",7
"Washington, DC",6
"Venice, CA",5
"Santa Monica, CA",5
"Burlington, MA",5
"Redwood City, CA",5
"San Diego, CA",5
"Boston, MA",5
"Arlington, VA",5
"Raleigh, NC",5
"Cambridge, MA",4
"Saint Louis, MO",4
"Sunnyvale, CA",4
"Atlanta, GA",3
"Charleston, SC",3
"Austin, TX",3
"Jersey City, NJ",3
"Tampa, FL",3
"Pittsburgh, PA",3
"San Ramon, CA",3
"Menlo Park, CA",3
"Culver City, CA",3
"Glendale, CA",3
"Tacoma, WA",2
"Colorado Springs, CO",2
"Baltimore, MD",2
"Acton, MA",2
"Wellesley, MA",2
"Dallas, TX",2
"Thousand Oaks, CA",2
"Philadelphia, PA",2
"Berkeley, CA",2
"Bethesda, MD",2
"Fort Meade, MD",2
"Albertville, AL",2
"Northridge, CA",2
"Manchester, NH",2
"Bedford, MA",2
"Milpitas, CA",2
"Orlando, FL",2
"Malvern, PA",2
"Denver, CO",2
"Gardena, CA",2
"Norwalk, CA",2
"Saint Paul, MN",2
"Santa Clara, CA",2
"Plano, TX",2
"Salt Lake City, UT",2
"Toledo, OH",1
"Alexandria, VA",1
"Youngsville, NC",1
"Detroit, MI",1
"Mclean, VA",1
"Costa Mesa, CA",1
"Boca Raton, FL",1
"Carlsbad, CA",1
"Santa Barbara, CA",1
"Beverly Hills, CA",1
"Cupertino, CA",1
"Long Beach, CA",1
"Troy, MI",1
"Roseville, CA",1
"San Antonio, TX",1
"Timberlake, VA",1
"Annapolis Junction, MD",1
"Indianapolis, IN",1
"Vienna, VA",1
"Charlotte, NC",1
"Arlington, TX",1
"Chevy Chase Village, MD",1
"Stony Brook, NY",1
"Fenton, MO",1
"West Hollywood, CA",1
"Boulder, CO",1
"Johnson City, TN",1
"Newport Beach, CA",1
"Falls Church, VA",1
"Marina Del Rey, CA",1
"Anne Arundel County, MD",1
"Concord, CA",1
"North Hollywood, CA",1
"Fairfield, CT",1
"Rockville, MD",1
"Melville, NY",1
"Rochester, NY",1
"Houston, TX",1
"Camp Springs, MD",1
"Dunwoody, GA",1
"Solon, OH",1
"El Segundo, CA",1
"Durham, NC",1
"San Carlos, CA",1
"Providence, RI",1
"Lindon, UT",1
"Bowie, MD",1
"Eden Prairie, MN",1
"Westwood, CA",1
"East Setauket, NY",1
"Canoga Park, CA",1
"Van Nuys, CA",1
"Las Vegas, NV",1
"Plymouth, MN",1
"Huntsville, AL",1
"Elmira, NY",1
"Portland, OR",1
"Torrance, CA",1
"Omaha, NE",1
"Manhattan, NY",1
"Kitchener, ON",1
"Pasadena, CA",1
"Loveland, CO",1
