Location,Frequency
"New York City, NY",5
"Princeton, NJ",4
"Las Vegas, NV",3
"Atlanta, GA",3
"Cambridge, MA",2
"Woodland Hills, CA",2
"Pleasanton, CA",2
"Laguna Niguel, CA",2
"San Jose, CA",2
"Ventura, CA",2
"Orange, CA",2
"Kansas City, MO",1
"Philadelphia, PA",1
"Scottsdale, AZ",1
"Providence, RI",1
"Austin, TX",1
"Mckinney, TX",1
"Newton, MA",1
"Randleman, NC",1
"Indianapolis, IN",1
"San Francisco, CA",1
"Palm Springs, CA",1
"Mclean, VA",1
"La Jolla, CA",1
"Pittsburgh, PA",1
"Washington, DC",1
"Venice, CA",1
"Mount Pleasant, SC",1
"Jersey City, NJ",1
