Location,Frequency
"New York City, NY",5
"Princeton, NJ",4
"Atlanta, GA",3
"Las Vegas, NV",3
"Ventura, CA",2
"San Ramon, CA",2
"Laguna Niguel, CA",2
"Woodland Hills, CA",2
"Pleasanton, CA",2
"San Jose, CA",2
"Orange, CA",2
"Cambridge, MA",2
"Pittsburgh, PA",1
"Kansas City, MO",1
"Newton, MA",1
"Venice, CA",1
"San Francisco, CA",1
"Randleman, NC",1
"Mckinney, TX",1
"Jersey City, NJ",1
"Indianapolis, IN",1
"La Jolla, CA",1
"Palm Springs, CA",1
"Austin, TX",1
"Washington, DC",1
"Scottsdale, AZ",1
"Mount Pleasant, SC",1
"Providence, RI",1
"Philadelphia, PA",1
"Mclean, VA",1
