Location,Frequency
"San Jose, CA",11
"New York City, NY",10
"San Francisco, CA",9
"Austin, TX",6
"Boston, MA",5
"Los Angeles, CA",4
"San Carlos, CA",4
"Dallas, TX",4
"Fremont, CA",4
"Indianapolis, IN",3
"Plainfield, IL",3
"Las Vegas, NV",3
"Santa Monica, CA",3
"Irvine, CA",3
"Mountain View, CA",2
"San Mateo, CA",2
"Santa Rosa, CA",2
"Mentor, OH",2
"Atlanta, GA",2
"Venice, CA",2
"Madison, WI",2
"Richardson, TX",2
"Mansfield, TX",2
"Bellevue, WA",2
"Buckeye, AZ",2
"Milpitas, CA",2
"Phoenix, AZ",2
"Baton Rouge, LA",2
"Manitowoc, WI",2
"Piscataway, NJ",2
"Houston, TX",2
"Santa Clara, CA",2
"Blue Springs, MO",2
"Campbell, CA",2
"Charlotte, NC",2
"Lexington, KY",1
"Grapevine, TX",1
"San Ramon, CA",1
"Exton, PA",1
"Marina Del Rey, CA",1
"Menlo Park, CA",1
"Washington, DC",1
"San Diego, CA",1
"Irving, TX",1
"Petaluma, CA",1
"Nogales, AZ",1
"Huntsville, AL",1
"Pompano Beach, FL",1
"Suwanee, GA",1
"Westbury, NY",1
"Redwood City, CA",1
"Arlington, VA",1
"Salt Lake City, UT",1
"Oakland, CA",1
"Palo Alto, CA",1
"Brisbane, CA",1
"Port Washington, WI",1
"Calabasas, CA",1
"Scotts Valley, CA",1
"Delray Beach, FL",1
"Fairfield, NJ",1
"Tampa, FL",1
"Osceola, WI",1
"Manhattan, NY",1
"Bolingbrook, IL",1
"Saugus, MA",1
"Woodland Hills, CA",1
"Lawrence, KS",1
"Boise, ID",1
"Sonoma, CA",1
"Anaheim, CA",1
"Aurora, IL",1
"Mckinney, TX",1
"Vancouver, BC",1
"Tempe, AZ",1
"Traverse City, MI",1
"Culver City, CA",1
"Naperville, IL",1
"Mission Viejo, CA",1
"Burlington, MA",1
"Mooresville, NC",1
