Location,Frequency
"San Francisco, CA",15
"New York City, NY",8
"Los Angeles, CA",5
"San Mateo, CA",3
"Cambridge, MA",3
"West Hollywood, CA",2
"Nashville, TN",2
"Berkeley, CA",2
"Pittsburgh, PA",1
"Costa Mesa, CA",1
"Chantilly, VA",1
"Napa, CA",1
"Philadelphia, PA",1
"Trenton, NJ",1
"Woodland Hills, CA",1
"Austin, TX",1
"Foster City, CA",1
"Alexandria, VA",1
"Chicago, IL",1
"Campbell, CA",1
"Elmira, NY",1
"Leawood, KS",1
"Hazlet, NJ",1
"Bethesda, MD",1
"Santa Monica, CA",1
"Calgary, AB",1
"Plymouth Meeting, PA",1
"Bedford, MA",1
"San Jose, CA",1
