Search,Title,Cities,States,Latitude,Longitude,Description,Skills,Min_Salary,Max_Salary,Mean_Salary,URL
Data Engineer,Data Engineer,Irvine,CA,33.6845673,-117.82650490000002,"If you are a Data Engineer with experience, please read on!Based in a beautiful office in Irvine, We are a cutting edge Medical Device Research and Development company. Our teams utilize cutting edge technologies to build world class software infrastructure that allows our business to access data and make better informed decisions. We are a very successful, stable company and we are leader in our space that is well positioned for continued growth. Due to company growth we are looking for an engineer with 2+ years of experience building ETL Data Pipelines in an AWS environment using a Python, JavaScript, Ruby or Go programming languages.What You Will Be DoingTo assist in designing, creation and debugging of MS SQL ETL packages (SSIS, SP, Views, etc..) as well as exploring existing/new Amazon Web Services (AWS). The ideal candidate would be driven, self-motivated, have a “can do” attitude, and be eager to learn new technology as they will be assisting in transitioning/creating ETL’s on the AWS platform.What You Need for this PositionBachelor’s Degree in Computer Technology preferredExperience in open source language such as Python, Java, PHP, RubyExperience with Redshift, Tableau, and AWS services General experience in Business Objectives and Data Transformation Services (DTS) /SQL Server. Integration Services (SSIS), a plus.What's In It for YouCompetitive compensation and full benefits including healthcare, life insurance, PTO and 401K with company matchEmployee gym, medical/wellness centerCatered lunches and flexible work arrangementsLearn from smart people and strong leadershipPhysician (no more waiting 3 months for a doctors appointment)Game rooms (pool, ping pong, foosball)Employee appreciation days (Company BBQ, special events, etc.)So, if you are a Data Engineer with 2+ years of professional experience building ETL Data Pipelines in an AWS environment using a Python, JavaScript, Ruby or Go programming languages, please apply today!                                    ","['Python', 'ETL', 'AWS']",100000,120000,110000.0,https://www.cybercoders.com/data-engineer-job-399468
Data Engineer,Data Engineer,Raleigh,NC,35.7795897,-78.6381787,"If you are a Data Engineer looking for a new opportunity in the Raleigh area, read on!We are an advertising solutions company based in Raleigh, NC, and we have one of the sharpest teams around! Currently, we are looking for a Data Engineer who wants to join a startup.If you're looking for a great new opportunity, you've found it! Apply now!What You Need for this PositionAt Least 3 Years of experience and knowledge of:- Hadoop- EMR- AWS- Python- Java- ScalaSo, if you are a Data Engineer with experience, please apply today!                                    ","['Java', 'AWS', 'SPARK', 'Python', 'Hadoop', 'EMR', 'Scala']",100000,130000,115000.0,https://www.cybercoders.com/data-engineer-job-405384
Data Engineer,Data Engineer,Raleigh,NC,35.7795897,-78.6381787,"If you are a Data Engineer looking for a new opportunity in the Raleigh area, read on!We are an advertising solutions company based in Raleigh, NC, and we have one of the sharpest teams around! Currently, we are looking for a Data Engineer who wants to join a startup.If you're looking for a great new opportunity, you've found it! Apply now!What You Need for this PositionAt Least 3 Years of experience and knowledge of:- Hadoop- EMR- AWS- Python- Java- ScalaSo, if you are a Data Engineer with experience, please apply today!                                    ","['Java', 'AWS', 'SPARK', 'Python', 'Hadoop', 'EMR', 'Scala']",100000,130000,115000.0,https://www.cybercoders.com/data-engineer-job-408307
Data Engineer,Data Engineer,Raleigh,NC,35.7795897,-78.6381787,"If you are a Data Engineer looking for a new opportunity in the Raleigh area, read on!We are an advertising solutions company based in Raleigh, NC, and we have one of the sharpest teams around! Currently, we are looking for a Data Engineer who wants to join a startup.If you're looking for a great new opportunity, you've found it! Apply now!What You Need for this PositionAt Least 3 Years of experience and knowledge of:- Hadoop- EMR- AWS- Python- Java- ScalaSo, if you are a Data Engineer with experience, please apply today!                                    ","['Java', 'AWS', 'SPARK', 'Python', 'Hadoop', 'EMR', 'Scala']",100000,130000,115000.0,https://www.cybercoders.com/data-engineer-job-411893
Data Engineer,Data Engineer,Santa Monica,CA,34.01945429999999,-118.4911912,"If you are a talented Data Engineer, please read on!Based in Santa Monica, we are on a mission to connect the world through video by creating and distributing high quality, engaging and shareable digital content all over the world! We look for passionate people who want to change the world and make a difference. People that are driven to disrupt the status quo and not looking for just another job.What You Will Be Doing- SQL and NoSQL databases, from determining business requirements to planning and deploying production systems.- Crawlers against structured and unstructured data sources to grow our ever-expanding data repositories.- Scalable, high availability data generation at web-scale.- Interface with engineers, analysts and product to translate needs to systems and data representations.- Build out structured data representations to enable cutting-edge algorithm development.- Own data quality and build data enterprise.- Design build and launch ETLs in production.What You Need for this Position- 3+ yrs experience with multi-terabyte data systems.- Experience with NoSQL or RDBMS platforms - Cassandra, PostgreSQL, MySQL or Oracle.- Experience with custom ETL design, implementation and maintenance.- Experience working with either an MPP or MapReduce system - Hadoop, Spark or Elastic Search.- Strong understanding of Cloud technologies, architecting, developing or maintaining cloud solutions in cloud environments (e.g Google Cloud Platform or Amazon Web Services).- 3+ years programming experience, Python, R, Spark preferred. - Deep, hands-on experience with schema design and dimensional data modeling.- Ability to analyze data to identify deliverables, gaps and inconsistencies.- MS/BS/BA in CS/Math/EE or related disciplinesWhat's In It for You- Get in at the ground floor.  As one of the first members of the data science team, you will DEFINE Content Intelligence here- Apply your ML chops to one of the hottest problems in the space- Our community parties- Work on a movie studio. Literally. Our Santa Monica offices are the old MTV studios- Plugged into a community of food and travel lovers- Be truly global, we have offices in Santa Monica, Austin, London, Paris, Brazil, Argentina and Japan. - Stock Options- Work with a cool mix of artists, actors, editors, writers and engineers- Data is the biggest focus area right now!- Flexible vacation days and 11 paid holidays- Medical, Dental, Vision, LTD, Life EAP and 401K benefitsSo, if you are a Data Engineer, please apply today!                                    ","['Large Data Sets', 'statistical and predictive modeling', 'Machine Learning']",100000,140000,120000.0,https://www.cybercoders.com/data-engineer-job-328856
Data Engineer,Data Engineer,New York City,NY,40.7127753,-74.0059728,"If you are a Data Engineer with experience, please read on!Top Reasons to Work with UsIn less than 10 years, we've become an online retail leader for home decor, and we're excited to have you join us on our newest venture as we pioneer in incorporating a live experience for our customers from the comfort of their own home. We inspire our customers, and help them decorate their house to make it uniquely THEIR home.What You Will Be DoingDesigning, maintaining and improving our data warehouseAct as a first-responder for any data issues that ariseEnsure overall health of our infrastructureWhat You Need for this PositionAt Least 3 Years of experience and knowledge of:- Data Warehouse Management- ETL- SQL- Tableau- Automation Technologies (Chef, Capistrano, etc.)- Unix/Linux, troubleshooting and log spelunking- Python/R/Shell Scripting- BS in Computer Science or related fieldWhat's In It for You- Competitive Base Salary ($110k- $130k DOE)- Medical- Dental- Vision- DTO- Parental Leave- Catered lunches- Stocked kitchen - 401(k)So, if you are a Data Engineer with experience, please apply today!NO INTERNSHIP APPLICATIONS PLEASE.                                    ","['Tableau', 'ETL', 'SQL', 'Automation Technologies', 'Unix/Linux', 'Python/R/equivalent']",Unknown,Unknown,Unknown,https://www.cybercoders.com/data-engineer-job-402181
Data Engineer,Data Engineer,Jersey City,NJ,40.72815749999999,-74.0776417,"If you are a Data Engineer with experience, please read on!Located in Jersey City, NJ we are a marketing/advertising technology platform transforming the way brands connect with consumers. As a member of our engineering team, we want you to bring experience bringing real products from the ground up. We use a variety of tools, technologies, and languages to build software (Scala, Elasticsearch, Aerospike, React/Redux, Kinesis/Kafka, Hadoop, MR, AWS EMR, Spark).What's In It for YouWe offer an amazing compensation package including but not limited to: - A competitive base salary (DOE) - Full benefits (Medical, Dental, Vision) - Bonuses!!- 401K plan- Birthday parties, free snacks, Friday lunches- Team building, happy hours, contestsWhat You Will Be Doing- Maintain and improve our data pipelines using Hadoop, Spark, Aerospike, Elasticsearch and more- Partner with the Data Science team to investigate and implement advanced statistical models and machine learning pipelines- Identify and implement performance improvements across all pipelines- Data investigations to validate assumptions or find the source of a problemWhat You Need for this PositionAt Least 3 Years of big data experience and knowledge of:- Hadoop MapReduce or other big data technologies and pipelines (Hadoop, Spark, R, MapReduce, NoSQL, Kafka, RDBMS, etc.) - Object Oriented Programming experience (Pref. Scala but strong with Java works too) - You consider yourself a Data Scientist and Senior Developer - Expertise in Data Structures, Algorithms & DesignAdded bonus if you have knowledge of: - One or more of the following: Location Intelligence, Marketing Platforms, Advertising Technology - Scala Machine learning pipelinesSo, if you are a Data Engineer with experience, please apply today!                                    ","['Big Data', 'ADTECH', 'Hadoop', 'Scala', 'SPARK']",150000,175000,162500.0,https://www.cybercoders.com/data-engineer-job-419148
Data Engineer,Data Engineer,Cambridge,MA,42.373615799999996,-71.10973349999998,"If you are a Data Engineer with experience, please read on!We are a mobile-only company that uses big data to predict and analyze airfare and accommodations. Our app provides travelers with the information they need to get the best deals on flights and hotels, and notifies them when prices are at their predicted lowest points.Top Reasons to Work with UsWe're speaking with candidates at ALL LEVELS.What You Need for this PositionAt Least 3 Years of experience and knowledge of:- University degree in Computer Science, Mathematics or Statistics- Experience with designing and building large scale data pipelines in distributed environments with technologies such as Hadoop, Cassandra, Kafka, Spark, HBase, etc.- Demonstrable experience with SQL, HQL, CQL, etc.- Backend development experience with Scala, Java, Python, unix shell scriptingWhat's In It for You- Competitive salary and stock options- Comprehensive medical, dental, vision, disability and life insurance, all on us- IATA Travel Agent Card for discounts in the travel industry- Fully stocked kitchen with: coffee/tea, beer, bagels and healthy snacks- Team lunches, off-site activities and much more!So, if you are a Data Engineer with experience, please apply today!                                    ","['Hadoop', 'SQL', 'SPARK', 'Kafka']",Unknown,Unknown,Unknown,https://www.cybercoders.com/data-engineer-job-424195
Data Engineer,Data Engineer,Cambridge,MA,42.373615799999996,-71.10973349999998,"If you are a Data Engineer with experience, please read on!We are a mobile-only company that uses big data to predict and analyze airfare and accommodations. Our app provides travelers with the information they need to get the best deals on flights and hotels, and notifies them when prices are at their predicted lowest points.Top Reasons to Work with UsWe're speaking with candidates at ALL LEVELS.What You Need for this PositionAt Least 3 Years of experience and knowledge of:- University degree in Computer Science, Mathematics or Statistics- Experience with designing and building large scale data pipelines in distributed environments with technologies such as Hadoop, Cassandra, Kafka, Spark, HBase, etc.- Demonstrable experience with SQL, HQL, CQL, etc.- Backend development experience with Scala, Java, Python, unix shell scriptingWhat's In It for You- Competitive salary and stock options- Comprehensive medical, dental, vision, disability and life insurance, all on us- IATA Travel Agent Card for discounts in the travel industry- Fully stocked kitchen with: coffee/tea, beer, bagels and healthy snacks- Team lunches, off-site activities and much more!So, if you are a Data Engineer with experience, please apply today!                                    ","['Hadoop', 'SQL', 'SPARK', 'Kafka']",Unknown,Unknown,Unknown,https://www.cybercoders.com/data-engineer-job-424737
Data Engineer,Data Engineer,Carlsbad,CA,33.158093300000004,-117.3505939,"If you are a Data Engineer, Database Developer, or Database Engineer with experience using Python and Pentaho, please read on!What You Will Be Doing- MySQL data warehouse management and technical ownership- Maintenance of data integration based pipelines- Gather, interpret, present marketing data to aid management in strategic decision makingWhat You Need for this PositionAt Least 2 Years of experience and knowledge of:Must haves:- Python, MySQL, LinuxNice to haves:- Pentaho- Digital Marketing experience- BI tools (Tableau, Looker, Cognos, etc.)So, if you are a Data Engineer, Database Developer, or Database Engineer with experience using Python and Pentaho, please apply today!                                    ","['Python', 'MySQL', 'Pentaho']",80000,120000,100000.0,https://www.cybercoders.com/data-engineer-job-425438
