Title,Location,Salary,Description,Skills,URL
Systems Analyst,"Geneseo, IL","['70', '100']","If you are a Systems Analyst with experience, please read on!Top Reasons to Work with Us- HUGE Room for Growth- Great Work/Life Balance/Autonomy- Competitive PayWhat You Will Be DoingThe Systems Analyst / Programmer provides professional, analytical, problem solving, and project planning skills to maintain and improve business applications, systems and service effectiveness utilized by all parts of the company. Activities require interaction with application development software, Microsoft Windows Apache Server environments, and IBM Mainframe / DB2 relational databases to create, maintain, and modernize applications.What You Need for this PositionAt Least 3 Years of experience and knowledge of:- iSeries- AS400/RPGNice to have:- SQL- HTML5/CSS3/javascriptWhat's In It for YouFor your hard work, you will be rewarded with a strong compensation package that includes a competitive base salary (D.O.E), excellent medical, dental and health benefits and other cool perks.So, if you are a Systems Analyst with experience, please apply today!
                

                    Applicants must be authorized to work in the U.S.","Preferred Skills
                
                    
                            
                                
                                    
                                    iSeries
                                    
                                
                            
                            
                                
                                    
                                    AS400/RPG
                                    
                                
                            
                            
                                
                                    
                                    SQL
                                    
                                
                            
                            
                                
                                    
                                    HTML5/CSS3/javascript",https://www.cybercoders.com/systems-analyst-job-392055
WMS Analyst,"Chicago, IL","['80', '100']","If you are a WMS Analyst with experience, please read on!Top Reasons to Work with Us- HUGE Room for Growth- Great Work/Life Balance/Autonomy- Competitive PayWhat You Will Be Doing•Configures the JDA Warehouse Management Systems (WMS) in production and non-production•Supports IS Business Analysts and Solution Architects with design, development and solution management•Leads or participates in requirement sessions by defining and writing specifications, including: configuration, user exit, custom program and reports •Gathers Functional/Business requirements from users & sponsors•Authors and communicates Functional Designs and System Test plans•Collaborates with analysts, designers, and system owners to implement new WMS functionality enhancements•Supports the development team members during detailed design & coding phase•Executes test plans for functional unit tests, regression tests and system integration tests•Works with Quality Assurance team to conduct functional testing of implemented applicationsWhat You Need for this PositionAt Least 1 Year of experience and knowledge of:- Configuring WMS (JDA)- JDA- SDLC- Agile- Project Management- Warehouse Management SystemsNice to have:- SQL****Job is located in Seattle and is 100% facing role****What's In It for YouFor your hard work, you will be rewarded with a strong compensation package that includes a competitive base salary (D.O.E), excellent medical, dental and health benefits and other cool perksSo, if you are a WMS Analyst with experience, please apply today!
                

                    Applicants must be authorized to work in the U.S.","Preferred Skills
                
                    
                            
                                
                                    
                                    Configuring WMS (JDA or Manhattan)
                                    
                                
                            
                            
                                
                                    
                                    JDA
                                    
                                
                            
                            
                                
                                    
                                    SDLC
                                    
                                
                            
                            
                                
                                    
                                    Agile
                                    
                                
                            
                            
                                
                                    
                                    Project Management
                                    
                                
                            
                            
                                
                                    
                                    Warehouse Management Systems",https://www.cybercoders.com/wms-analyst-job-398665
WMS Analyst,"Fresno, CA","['60', '90']","The WMS Analyst for our Warehouse Management System (WMS) will primarily serve Ulta’s Distribution Center by providing timely and accurate data, process and system analysis for improving warehousing and transportation efficiencies. The Analyst is expected to be part of a rotational 24/7 on-call group that will support the operation at all hours. The role has multiple responsibilities that are carried out without direct supervision from management, yet hold significant operational, efficiency, and financial implications.Top Reasons to Work with UsGreat pay, excellent benefits and career growth!!What You Will Be Doing• Support the Distribution Center’s 24/7 operation in regards to the Manhattan WMOS, WCS, and Lightning Pick systems • Troubleshooting complex systems issues, creating and maintaining SQL-based Business Intelligence Reporting, active partnership with appropriate departments from ULTA HQ and various vendors. • This position is the first point of contact in the systems issue escalation process and is required to make informed, educated decisions apart from the WMS Manager. • Maintain inventory integrity between Manhattan WMOS and SAP. • This responsibility has both operational and financial implications to ULTA and is done under minimal or no supervision from management. • This is a highly impactful responsibility which requires daily interaction including reviewing & maintaining inventory sync & error handling reports, same day research and resolution of discrepancies, participating and leading daily inventory sync calls & collaborating with the HQ partners, Finance team and DC Ops teams to provide training and guidance for sync discrepancy prevention • Maintain slotting requirements with input from the operation. • Keep management, other team members and other departmental employees aware of obstacles and status changes in a timely manner. Use proper judgment to determine when such communication is necessary. • Consider the need for other team members to support their areas of responsibility and openly shares an understanding of these areas. • Ensure his/her areas of expertise are covered when absent. • Analyze production issues as necessary to determine the cause of the issue and determine the necessary course of action for resolution. • Responsible for testing the solution and verifying that the production issue has indeed been resolved following implementation. • Consider technical and performance consequences when creating design deliverables. • Use technical skills in the appropriate toolset to analyze data and develop necessary ""work arounds."" Deliverables in this area are typically used to support the design and support process, not to be rolled out for productive use by business users. • Create and deliver user documentation as necessary to ensure proper use of changed and newly implemented efforts.What You Need for this PositionJOB REQUIREMENTS Minimum: Bachelor’s degree in related field (Computer Science, Business, IT, Analytics, Engineering), or equivalent related work experience Executive level communication skills possessing the ability to directly and clearly communicate complex ideas to a team Ability to multi-task and thrive under pressure Experience developing training programs and coaching both leaders and frontline employees 1-3 years of Manhattan experience OR 5+ years of Oracle/DBA/Analytics experience Experience writing SQL Scripting or ad-hoc reporting experience Experience with live systems, such as SAP Proficiency in Microsoft Access and Excel High learning agility. Position will often require learning new areas of business, new software and new technology. Strong experience with data analysis/design and systems analysis/design. Experience with warehouse management systems. Experience with transportation management systems. Experience with labor management systems. MS Excel, Word, Access SPECIAL POSITION REQUIREMENTS Preferred: 3+ years of leadership experience, preferably in a distribution environment 3+ years of WMS experience 1+ years of SOX compliance experience 1+ yearsWhat's In It for YouGreat pay, excellent benefits and career growth!!So, if you are a WMS Analyst, please apply today!
                

                    Applicants must be authorized to work in the U.S.","Preferred Skills
                
                    
                            
                                
                                    
                                    WMS
                                    
                                
                            
                            
                                
                                    
                                    SOX
                                    
                                
                            
                            
                                
                                    
                                    Configuring WMS (JDA or Manhattan)
                                    
                                
                            
                            
                                
                                    
                                    SQL Scripting
                                    
                                
                            
                            
                                
                                    
                                    Oracle
                                    
                                
                            
                            
                                
                                    
                                    DBA Analytics
                                    
                                
                            
                            
                                
                                    
                                    ad-hoc reporting
                                    
                                
                            
                            
                                
                                    
                                    SAP",https://www.cybercoders.com/wms-analyst-job-402825
Quantitative Analyst,"New York City, NY","['80', '110']","If you are a Quantitative Analyst with backtesting experience, please read on!We are a growing team that has been in business over 10 years, and among other accolades, received significant VC funding. Our mission is to develop a highly scalable and reliable cloud-computing architecture that powers and permits businesses to grow rapidly!We are looking to bring on a Quantitative Analyst to join our exciting and innovative team in Midtown, Manhattan.What You Will Be DoingAnalyzing financial data and developing analytics using emerging technologies such as machine learning and optimization techniques for portfolio construction/modeling/optimization, as well as other areas of asset management such as product development, compliance, sales and distribution.What You Need for this Position3-10 Years of experience and knowledge of:- Backtesting Signals- Quantitative Analysis- Statistical Analysis- Financial Modeling- Risk Management- Data Mapping- Gap Analysis- Quantitative Portfolio Management- Data PlatformsWhat's In It for You- Competitive compensation- Growth opportunities- Generous benefits package with the works (possibility for equity ownership)- Great office environment with excellent team members- Work for a stable, rapidly growing companySo, if you are a Quantitative Analyst with relevant experience, don't hesitate to apply today!
                

                    Applicants must be authorized to work in the U.S.","Preferred Skills
                
                    
                            
                                
                                    
                                    Backtesting
                                    
                                
                            
                            
                                
                                    
                                    Quantitative Analysis
                                    
                                
                            
                            
                                
                                    
                                    Statistical Analysis
                                    
                                
                            
                            
                                
                                    
                                    modeling
                                    
                                
                            
                            
                                
                                    
                                    Data Sources
                                    
                                
                            
                            
                                
                                    
                                    Financial Analysis
                                    
                                
                            
                            
                                
                                    
                                    Portfolio Management
                                    
                                
                            
                            
                                
                                    
                                    Emerging Technologies
                                    
                                
                            
                            
                                
                                    
                                    Data Mapping
                                    
                                
                            
                            
                                
                                    
                                    Gap Analysis",https://www.cybercoders.com/quantitative-analyst-job-408102
Senior Analyst,"San Francisco, CA","['130', '175']","Senior Analyst - Sales Analytics, Campaign Strategy, leadership & hands-on - San Francisco!We are a late stage venture funded cloud-based software firm focused on continuing to improve our product, our service, and our approach.  This ultimately boils down to a commitment to truly understand our customers and what they want and need.  That's why we're hiring a new Senior Analyst - someone who will focus on key performance indications of customer satisfaction, the science of sales, and on developing a robust and sustainable product and service-based approach.Top Reasons to Work with Us- great financial runway- awesome San Francisco HQ- commitment to our people and to hiring the best!What You Need for this Position- Sales Analytics- Sales Campaign Strategy- Campaign Launch Analytics- Reporting- Modeling- Customer Behavior Analytics- KPI analysisWere you a VP of Sales and / or Analytics?  Interested in a change?  Want to be hands-on?  Focused on the science of sales and sales operations / strategy?If you are a Senior Analyst with ample sales leadership experience seeking to help a small but well funded firm grow, please apply today!
                

                    Applicants must be authorized to work in the U.S.","Preferred Skills
                
                    
                            
                                
                                    
                                    Sales Analytics
                                    
                                
                            
                            
                                
                                    
                                    Sales Campaign Strategy
                                    
                                
                            
                            
                                
                                    
                                    Campaign Launch Analytics
                                    
                                
                            
                            
                                
                                    
                                    Reporting
                                    
                                
                            
                            
                                
                                    
                                    modeling
                                    
                                
                            
                            
                                
                                    
                                    Customer Behavior Analytics
                                    
                                
                            
                            
                                
                                    
                                    KPIs",https://www.cybercoders.com/senior-analyst-job-410559
ISO Analyst,"Annapolis, MD",[],"We are a top wireless communications company that focuses on location, messaging, and navigation. Our solutions provide cloud-based messaging platforms for Emergency Response and telemedicine technologies. We develop secure mobile and platform solutions for operators and enterprises worldwide. If you are a ISO Analyst with experience, please read on!What You Will Be Doing•Develop and execute internal audit programs and facilitate external audits in compliance with requirements, internal SOP’s, and customer requirements •Develop and interpret security policies and procedures to identify security issues and risks, and work with management to develop mitigation plans •Monitor and evaluate business unit performance on key security issues and programs, recommend corrective action programs as appropriate including KPIs •Develop and deliver orientation training, ISO initiatives training, or other training to employees as applicable, includes material creation •Evaluate and recommend new and emerging security products and technologies •Participate in security incident handling •Supports customer relationships and business units by ensuring complete understanding of customer security requirements and enables the delivery of viable security responses. •Craft/edit appropriate policies, procedures, standards and guidelines •Liaise with Product Management, Development, QA, Operations teams, and other areas of business in building awareness of regulatory requirements and timing for reporting and labeling. •Develop security testing for products in the development cycle •Act as business unit representative for corporate compliance steering committee •Provide document control development related to quality systemsWhat You Need for this Position•Bachelor’s Degree in Computer Science, Engineering or related STEM degree.•3-5 years of experience with experience maintaining an ISO 9001 QMS and 27001 Information Security programs. •Must be proficient in root cause analysis, quality system structuring, document control, and performing/managing audits.•Proven experience and detailed technical knowledge in security engineering, system and network security, authentication and security protocols, cryptography, and application security. •Degree in Computer Science or equivalent desired.What's In It for You• Competitive base salary• Paid time off• Exceptionally priced medical, vision, and dental coverage• Flexible spending opportunities• Tuition reimbursement / Gym reimbursement• Paid life insurance• Incentive stock option planSo, if you are an ISO Analyst with experience, please apply today!
                

                    Applicants must be authorized to work in the U.S.","Preferred Skills
                
                    
                            
                                
                                    
                                    ISO 9001 QMS
                                    
                                
                            
                            
                                
                                    
                                    27001
                                    
                                
                            
                            
                                
                                    
                                    Information Security
                                    
                                
                            
                            
                                
                                    
                                    Root Cause Analysis
                                    
                                
                            
                            
                                
                                    
                                    quality system structuring
                                    
                                
                            
                            
                                
                                    
                                    Document Control
                                    
                                
                            
                            
                                
                                    
                                    Cryptography
                                    
                                
                            
                            
                                
                                    
                                    Application Security",https://www.cybercoders.com/iso-analyst-job-414759
Financial  Analyst,"Randleman, NC","['50', '60']","Growing team is seeking a high energy, passionate Financial Analyst to provide financial support for reporting, budgeting, forecasting inventory management and data analytics.  We are seeking an individual who loves translating collecting data, analyzing and proactively identifying problems and developing solutions for our amazing teams!   We need an analytical and practical solution-creator to help our collaborative team exceed expectations. If you are a Financial  Analyst with awesome  analysis  and problem solving experience, please read on!Top Reasons to Work with Us- Awesome growing team!- Terrific company culture and growth opportunity- Strong Compensation and benefitsWhat You Will Be Doing- Support month-end close and reporting- Support annual budge and monthly forecast process- Prepare financial analysis and data analytics around revenue- Work on Cool Projects that ACTUALLY ADD VALUEWhat You Need for this PositionAt Least 3 Years of experience and knowledge of:-  Degree -  1-2+ years of Financial Analysis-  Manufacturing  or Oracle/Oracle EBS  would be a plusSo, if you are a Financial Analyst seeking an awesome career opportunity, please apply today!
                

                    Applicants must be authorized to work in the U.S.","Preferred Skills
                
                    
                            
                                
                                    
                                    Financial Analysis
                                    
                                
                            
                            
                                
                                    
                                    Manufacturing (high-volume durable goods)
                                    
                                
                            
                            
                                
                                    
                                    Oracle ERP (preferred)
                                    
                                
                            
                            
                                
                                    
                                    Data analytics and forecasting",https://www.cybercoders.com/financial-analyst-job-415322
QA Analyst,"Atlanta, GA",[],"If you are a QA Analyst with automated testing experience, please read on!We are a leading auto parts retail company with multiple locations across the US looking to expand our business intelligence division to support our massive database and we need you to make our 2018 goals happen!We are exclusively a Microsoft stack shop and looking to hire for multiple positions across multiple experience levels.   If you are passionate about supporting a growing division and looking to take the next step in your career, then this is the position for you!Top Reasons to Work with Us- Competitive compensation AND comprehensive benefits package- Recently renovated office- Work hard, play hard mentality - Interact with a dynamic and past-paced team of professionals- High Career MobilityWhat You Will Be Doing-Design, plan, and execute integrated cross-functional system and validation tests-Develop and maintain test automation-Identify, reproduce, isolate, and validate issues-Work with engineering to identify risk areas and testing responses-Perform manual testing while automating new test plansWhat You Need for this PositionMust Have:- A bachelor's degree (Computer Science preferred) or equivalent experience - At least 1 year of testing software in an agile environmentNice to Have:- testing in a Microsoft environment- Automotive and /or Supply Chain Industry experienceWhat's In It for You- Competitive base salary- Bonus potential- Regular performance/salary reviews- Healthcare benefits- PTO- Work/life balance- Casual company cultureSo, if you are a QA Analyst with automated testing experience, please apply today!
                

                    Applicants must be authorized to work in the U.S.","Preferred Skills
                
                    
                            
                                
                                    
                                    Software Quality Assurance
                                    
                                
                            
                            
                                
                                    
                                    Automated Testing
                                    
                                
                            
                            
                                
                                    
                                    Agile",https://www.cybercoders.com/qa-analyst-job-418853
Reporting Analyst,"Pleasanton, CA","['75', '90']","If you are a Reporting Analyst with experience, please read on!We are based in Pleasanton, CA, and have been in business since 1932. We pride ourselves on providing great financial services to our members. We were one of the Bay  Area's Best and Brightest companies to work for in 2017. We are always looking to add talented individuals to our team, and right now we are looking for a Reporting Analyst.Top Reasons to Work with Us- Extensive History- Award Winning Culture- Excellent BenefitsWhat You Will Be DoingThe Reporting Analyst will be responsible for providing timely and accurate reports, data extracts and dashboards. Additional responsibilities include data integration, store procedures, functions and data aggregation. Strong SQL and Data Analysis experience is a must.Major Responsibilities:- Develop and maintain KPIs/Metrics reports and dashboards allowing the business to clearly see where improvement is necessary- Write ad-hoc queries for day to day data requests; workspaces and business rules- Effectively influence and work comfortable across all levels of the organization, inspire trust and respect, and maintain excellence in written and verbal communication- Ensure accuracy and integrity of data provided to internal and external partners- Performs other job related duties as assignedWhat You Need for this PositionQuality:- Bachelor's Degree- 1-3 years of similar or related experience invluding T-SQL, writing SSRS reports, stored procedures, table valued and scalar value functions- Analyze data to solve problems- Excellent interpersonal and communication skills- Advanced knowledge of MS Excel- Exposure to SSIS/SSAS preferredWhat's In It for YouCompetitive Salary and BenefitsSo, if you are a Reporting Analyst with experience, please apply today!
                

                    Applicants must be authorized to work in the U.S.","Preferred Skills
                
                    
                            
                                
                                    
                                    SQL
                                    
                                
                            
                            
                                
                                    
                                    Data Analysis
                                    
                                
                            
                            
                                
                                    
                                    T-SQL
                                    
                                
                            
                            
                                
                                    
                                    Writing SSRS Reports
                                    
                                
                            
                            
                                
                                    
                                    Stored Procedures
                                    
                                
                            
                            
                                
                                    
                                    Table/Scalar Value Tables
                                    
                                
                            
                            
                                
                                    
                                    SSIS/SSAS
                                    
                                
                            
                            
                                
                                    
                                    MS Excel",https://www.cybercoders.com/reporting-analyst-job-419449
Behavior Analyst,"Pittsfield, MA","['70', '75']","If you are a Behavior Analyst with experience, please read on! (Pittsfield, MA)We are a non-profit, tax-exempt organization providing a broad range of community-based services to more than 650 individuals with developmental disabilities, brain injuries and autism throughout Berkshire and Hampden Counties in Massachusetts, including three-day programs, 36 residential facilities, employment services, citizen and self-advocacy programs and respite services.Top Reasons to Work with UsAll qualified applicants will receive consideration for employment without regard to race, color, religion, sex, sexual orientation, gender identity, national origin, citizenship, disability or protected veteran status.What You Will Be DoingWe are expanding our Clinical Department and are looking for a Board Certified Behavior Analyst (BCBA) to spearhead initiatives serving individuals with Autism Spectrum Disorders.What You Need for this PositionAt Least 1 Year of experience and knowledge of:- BCBA- Autism- Board Certified Behavior Analyst- ABASo, if you are a Behavior Analyst with experience, please apply today!
                

                    Applicants must be authorized to work in the U.S.","Preferred Skills
                
                    
                            
                                
                                    
                                    BCBA
                                    
                                
                            
                            
                                
                                    
                                    Autism
                                    
                                
                            
                            
                                
                                    
                                    Board Certified Behavior Analyst
                                    
                                
                            
                            
                                
                                    
                                    ABA",https://www.cybercoders.com/behavior-analyst-job-419525
